experiment_id,field,reference,state
ACT-HISTORY-ABLATION,results_file,experiment_tracking/act_history_ablation.md,exists_local
ACT-HISTORY-ABLATION,manifest_path,experiment_tracking/experiment_registry.csv,exists_local
ANCHOR-4,results_file,experiment_tracking/mprime_anchor_phase_b_a_20260912/README.md,exists_local
ANCHOR-4,manifest_path,experiment_tracking/mprime_anchor_phase_b_a_20260912/manifest.csv,exists_local
ANCHOR-KL-CONTROL,results_file,experiment_tracking/anchor_kl_control_summary_latest.csv,exists_local
ANCHOR-KL-CONTROL,manifest_path,experiment_tracking/anchor_kl_control_tpp_screen_20260908.csv,exists_local
BG-HIST,results_file,experiment_tracking/experiment_results.csv,exists_local
BG-HIST,manifest_path,,not_declared
COUNTERS-VISIT-AUDIT,results_file,experiment_tracking/advisor_followup_20260910/counters_visit_audit_latest_milestones.csv,exists_local
COUNTERS-VISIT-AUDIT,manifest_path,experiment_tracking/advisor_followup_20260910/counters_visit_audit_manifest.csv,exists_local
ENHSP-LEAF,results_file,experiment_tracking/experiment_results.csv,exists_local
ENHSP-LEAF,manifest_path,,not_declared
FO-S2-VAL-RECOVERY,results_file,experiment_tracking/advisor_followup_20260910/fo_stage2_validation_vh_off_exact_seed_results_20260913.csv,exists_local
FO-S2-VAL-RECOVERY,manifest_path,experiment_tracking/advisor_followup_20260910/fo_stage2_validation_partial_recovery_manifest.csv,exists_local
LONG-DRONE,results_file,experiment_tracking/long_drone_endpoint_results.csv,exists_local
LONG-DRONE,manifest_path,,not_declared
MAIN-EXT6-MPRIME,results_file,experiment_tracking/mprime_validation_phase_c_20260911/validator_decision_latest.csv,exists_local
MAIN-EXT6-MPRIME,manifest_path,experiment_tracking/mprime_anchor_phase_b_a_20260912/manifest.csv,exists_local
MAIN-TERM,results_file,experiment_tracking/experiment_results.csv,exists_local
MAIN-TERM,manifest_path,,not_declared
MAIN-TERM-EXT6-MPRIME,results_file,experiment_tracking/mprime_validation_ipc_scale_v1/terminal_led_stage2_selected_statistics_20260902.csv,exists_local
MAIN-TERM-EXT6-MPRIME,manifest_path,experiment_tracking/mprime_validation_ipc_scale_v1/terminal_led_stage2_selected_results_20260902.csv,exists_local
MAIN-VAL,results_file,experiment_tracking/experiment_results.csv,exists_local
MAIN-VAL,manifest_path,,not_declared
MAIN-VAL-S2-MCTS,results_file,experiment_tracking/advisor_followup_20260910/rq_primary_validation_led.csv,exists_local
MAIN-VAL-S2-MCTS,manifest_path,experiment_tracking/main_val_stage2_drone_mcts_manifest.csv,exists_local
MCTS-BG-TIEBREAK-SCREEN,results_file,experiment_tracking/block_grouping_tie_break_screen_20260913/README.md,exists_local
MCTS-BG-TIEBREAK-SCREEN,manifest_path,experiment_tracking/block_grouping_tie_break_screen_20260913/manifest.csv,exists_local
MCTS-COUNTERS-TIEBREAK-3WAY,results_file,experiment_tracking/counters_tie_break_3way_20260911/results_latest.csv,exists_local
MCTS-COUNTERS-TIEBREAK-3WAY,manifest_path,experiment_tracking/advisor_followup_20260910/counters_tie_break_3way_manifest.csv,exists_local
MCTS-COUNTERS-TIEBREAK-STRICT,results_file,experiment_tracking/counters_tie_break_strict_stage1_20260913/progress_20260914_1502.csv,exists_local
MCTS-COUNTERS-TIEBREAK-STRICT,manifest_path,experiment_tracking/counters_tie_break_strict_stage1_20260913/manifest.csv,exists_local
