csv_file,score_columns,direct_provenance_columns,companion_or_mapping,provenance_status
experiment_tracking/advisor_figures/pw_kmin3_30min_sensitivity.csv,original_successes;successful_instances_over_30m;successes_under_30m_counterfactual;original_mean_coverage;mean_coverage_under_30m,,experiment_tracking/mcts_progressive_widening_sensitivity/kmin3_success_runtime_instances.csv;experiment_tracking/mcts_progressive_widening_sensitivity/results.csv,companion
experiment_tracking/drone_endpoint_mcts_paired_results.csv,policy_score;mcts_score;mcts_log;mcts_val_valid;mcts_val_invalid,policy_log;mcts_log,,direct
experiment_tracking/drone_endpoint_mcts_results.csv,successes;successful_instance_runtime_seconds,job_id;source_training_job_id;source_evaluation_log;source_training_log,,direct
experiment_tracking/drone_endpoint_mcts_summary.csv,policy_mean;mcts_mean,,experiment_tracking/experiment_results.csv,companion
experiment_tracking/evaluation_coverage_plan.csv,mcts_endpoint_requirement;mcts_entries_materialized,,experiment_tracking/experiment_registry.csv,companion
experiment_tracking/experiment_results.csv,score,source_training_job_id;job_id;source_training_log;source_evaluation_log;source_validation_log;alternate_valid_job_ids;alternate_valid_log_paths,source_training_log;source_evaluation_log;source_validation_log;alternate_valid_log_paths,direct
experiment_tracking/fo_terminal_stage2_mcts_reconciliation_20260903.csv,successes;successful_instance_runtime_seconds,job_id;source_training_job_id;source_evaluation_log;source_training_log,source_evaluation_log;source_training_log,direct
experiment_tracking/fo_terminal_stage2_mcts_terminal_results_20260903.csv,policy_score;mcts_30m_score;mcts_2h_score;mcts_6h_score;source_mcts_log,job_id;source_training_job_id;source_checkpoint;source_training_log;source_policy_log;source_mcts_log,source_training_log;source_policy_log;source_mcts_log;source_checkpoint,direct
experiment_tracking/fo_terminal_stage2_mcts_terminal_summary_20260903.csv,policy_mean;mcts_30m_mean;mcts_2h_mean;mcts_6h_mean,,experiment_tracking/fo_terminal_stage2_mcts_terminal_results_20260903.csv,companion
experiment_tracking/four_domain_preservation/delivery_anchor_evidence.csv,validation_auc,original_job_id;final_job_id;original_log;final_log,,direct
experiment_tracking/four_domain_preservation/delivery_stage2_policy_reconciliation_20260831.csv,policy_score;score,slurm_job_id;source_training_job_id;source_log,,direct
experiment_tracking/four_domain_preservation/tpp_anchor_evidence.csv,validation_auc,original_job_id;final_job_id;original_log;final_log,,direct
experiment_tracking/four_domain_preservation/tpp_stage2_policy_reconciliation_20260831.csv,policy_score;score,slurm_job_id;source_training_job_id;source_log,,direct
experiment_tracking/four_domain_preservation/tpp_stage2_vh_off_training_comparison_20260902.csv,selected_validation_coverage,job_id;epochs_logged;source_training_log,,direct
experiment_tracking/four_domain_preservation/zenotravel_anchor_evidence.csv,validation_auc,original_job_id;final_job_id;original_log;final_log,,direct
experiment_tracking/four_domain_preservation/zenotravel_stage2_global_selected_policy_results.csv,successes;successful_instance_runtime_seconds,job_id;source_training_job_id;source_evaluation_log;source_training_log,,direct
experiment_tracking/four_domain_preservation/zenotravel_stage2_missing_policy_results.csv,successes;successful_instance_runtime_seconds,job_id;source_training_job_id;source_evaluation_log;source_training_log,,direct
experiment_tracking/four_domain_preservation/zenotravel_stage2_policy_results.csv,successes;successful_instance_runtime_seconds,job_id;source_training_job_id;source_evaluation_log;source_training_log,,direct
experiment_tracking/live_mcts_progress_latest.csv,successes_30m_lower_bound;successes_2h_lower_bound;successes_6h_lower_bound,job_id;source_evaluation_log;source_completion_ledger,,direct
experiment_tracking/live_training_progress_latest.csv,latest_validation_coverage,job_id;source_training_log,,direct
experiment_tracking/long_drone_endpoint_results.csv,policy_score;mcts_job_id;mcts_score;mcts_state;mcts_log,source_training_job;policy_job_id;policy_log;mcts_job_id;mcts_log,,direct
experiment_tracking/main_val_stage2_drone_mcts_gap.csv,mcts_state;mcts_job_id;mcts_score,source_training_job_id;source_policy_job_id;mcts_job_id;source_record,,direct
experiment_tracking/main_val_stage2_drone_mcts_summary_20260901.csv,policy_mean;mcts_30m;mcts_2h;mcts_6h,,experiment_tracking/main_val_stage2_drone_mcts_gap.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv,companion
experiment_tracking/main_val_stage2_drone_mcts_terminal_20260831.csv,policy_score;mcts_30m;mcts_2h;mcts_6h;mcts_job_id,mcts_job_id;source_log,,direct
experiment_tracking/mcts_counters_width_sensitivity/stage1_narrow_regression_audit_20260902.csv,policy_score;success;policy_successes_lost,completion_ledger,completion_ledger plus jobs mapped through stage1_narrow_terminal_results.csv,direct
experiment_tracking/mcts_counters_width_sensitivity/stage1_narrow_terminal_results.csv,policy_score;normal_width20_score;narrow_score_lower_bound,job_id;source_training_job_id;source_evaluation_log,source_evaluation_log,direct
experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_live_reconciliation_20260831.csv,policy_score;score,slurm_job_id;source_training_job_id;source_log,,direct
experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_pair_audit.csv,policy_success;mcts_success;mcts_status;mcts_elapsed_seconds;mcts_job;mcts_job_state;mcts_log,policy_log;mcts_log,,direct
experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_summary_10seed.csv,policy_mean,,experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_terminal_results.csv,companion
experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_terminal3_cutoffs.csv,recorded_successes;successes_le_1800s;successes_le_7200s;successes_le_21600s,job_id;source_log,,direct
experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_terminal3_input.csv,policy_score;score,slurm_job_id;source_training_job_id;source_log,,direct
experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_terminal3_instances.csv,success;success_le_1800s;success_le_7200s;success_le_21600s,job_id;source_log;instance_path,,direct
experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_terminal_results.csv,policy_score;narrow_score,job_id;source_training_job_id;source_evaluation_log,source_log;completion_ledger;validation_log,direct
experiment_tracking/mcts_counters_width_sensitivity/stage2_policy_only_trajectory_audit.csv,mcts_status;mcts_steps_persisted;mcts_elapsed_seconds;mcts_actions_above_policy_multiset;mcts_decrement_actions;mcts_actions_logged;mcts_completion_jsonl,policy_actions_logged;mcts_actions_logged;policy_log,,direct
experiment_tracking/mcts_determinism_audit/followup_candidates.csv,arm_a_score;arm_b_score,,experiment_tracking/mcts_determinism_audit/followup_results.csv,companion
experiment_tracking/mcts_determinism_audit/followup_results.csv,success,job_id;source_log,source_log,direct
experiment_tracking/mcts_determinism_audit/results.csv,coverage_30m;coverage_2h;coverage_6h,job_id;source_log,source_log,direct
experiment_tracking/mcts_horizon_binding/horizon_counters_results_20260904.csv,policy_score;score,slurm_job_id;source_training_job_id;source_log,,direct
experiment_tracking/mcts_horizon_binding/live_counters_lower_bounds_20260901_1022.csv,score_30m_lower_bound;score_2h_lower_bound;score_6h_lower_bound,job_id;source_log,,direct
experiment_tracking/mcts_horizon_binding/live_counters_lower_bounds_20260901_2304.csv,score_30m_lower_bound;score_2h_lower_bound;score_6h_lower_bound,job_id,,direct
experiment_tracking/mcts_horizon_binding/results.csv,score,job_id;source_evaluation_log;source_validation_log,,direct
experiment_tracking/mcts_horizon_pilot/difference_audit.csv,baseline_score;horizon_run_score;retained_successes;lost_successes;added_successes,,experiment_tracking/mcts_horizon_pilot/results.csv,companion
experiment_tracking/mcts_horizon_pilot/posthoc_val_20666467.csv,evaluator_score,evaluation_job_id;evaluation_log;validation_log,,direct
experiment_tracking/mcts_horizon_pilot/results.csv,horizon_score;baseline_score,job_id;baseline_job_id;evaluation_log;validation_log,external evaluation_log;validation_log,direct
experiment_tracking/mcts_paired_seed_results.csv,policy_score;mcts_score;mcts_state;mcts_log,policy_log;mcts_log,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/comparative_summary_20260901_1022.csv,policy_mean,,experiment_tracking/mcts_progressive_widening_cross_domain/results.csv;experiment_tracking/mcts_progressive_widening_cross_domain/terminal_results_20260901.csv,companion
experiment_tracking/mcts_progressive_widening_cross_domain/comparative_summary_20260901_2304.csv,policy_mean,,pw70_followup_submissions.tsv;terminal_results_20260901.csv;results.csv;matched_fixed_terminal_comparators.csv,companion
experiment_tracking/mcts_progressive_widening_cross_domain/counters_divergence_cutoffs_20260904.csv,recorded_successes;successes_le_1800s;successes_le_7200s;successes_le_21600s,job_id;source_log,source_log;experiment_tracking/mcts_progressive_widening_cross_domain/counters_divergence_instances_20260904.csv,direct
experiment_tracking/mcts_progressive_widening_cross_domain/counters_divergence_instances_20260904.csv,success;success_le_1800s;success_le_7200s;success_le_21600s,job_id;source_log;instance_path,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/counters_divergence_results_20260904.csv,policy_score;score,slurm_job_id;source_training_job_id;source_log,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/counters_stage1_divergence_recovery_manifest.csv,policy_score;fixed_normal_score;fixed_narrow_score,source_checkpoint;source_training_job_id;source_training_log;source_policy_log;source_narrow_log,source_training_log;source_policy_log;source_narrow_log,direct
experiment_tracking/mcts_progressive_widening_cross_domain/live_cutoff_lower_bounds_20260831.csv,recorded_successes;successes_le_1800s;successes_le_7200s;successes_le_21600s,job_id;source_log,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/live_instances_20260831.csv,success;success_le_1800s;success_le_7200s;success_le_21600s,job_id;source_log;instance_path,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/live_reconciliation_20260831.csv,policy_score;score,slurm_job_id;source_training_job_id;source_log,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/matched_fixed_block_grouping.csv,score,slurm_job_id;source_log,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/matched_fixed_terminal_comparators.csv,score,slurm_job_id;source_log,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/pilot_manifest.csv,policy_score,source_checkpoint;source_training_job_id,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/pw20_block_grouping_diagnostics.csv,successor_seconds,source_log,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_cutoffs_20260904.csv,recorded_successes;successes_le_1800s;successes_le_7200s;successes_le_21600s,job_id;source_log,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_expansion_manifest.csv,policy_score,source_checkpoint;source_training_job_id,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_instances_20260904.csv,success;success_le_1800s;success_le_7200s;success_le_21600s,job_id;source_log;instance_path,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_results_20260904.csv,policy_score;score,slurm_job_id;source_training_job_id;source_log,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_seed_results_20260904.csv,policy_score;fixed_20_70_score;pw70_30m_score;pw70_2h_score;pw70_6h_score,source_pw_log;source_fixed_log,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_statistics_20260904.csv,policy_mean;pw_minus_policy_mean,,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_seed_results_20260904.csv,companion
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_terminal_20260903.csv,policy_score;fixed_20_70_score;pw70_30m_score;pw70_2h_score;pw70_6h_score,job_id;source_training_job_id;source_checkpoint;source_evaluation_log;source_manifest,source_checkpoint;source_evaluation_log;source_manifest,direct
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_cutoffs_20260904.csv,recorded_successes;successes_le_1800s;successes_le_7200s;successes_le_21600s,job_id;source_log,source_log;experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_instances_20260904.csv,direct
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_instances_20260904.csv,success;success_le_1800s;success_le_7200s;success_le_21600s,job_id;source_log;instance_path,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_manifest.csv,policy_score,source_checkpoint;source_training_job_id,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_reconciliation_20260902.csv,policy_score;score,slurm_job_id;source_training_job_id;source_log,source_log,direct
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_results_20260904.csv,policy_score;score,slurm_job_id;source_training_job_id;source_log,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/results.csv,policy_score;fixed_score;pw_score,source_pw_log,,direct
experiment_tracking/mcts_progressive_widening_cross_domain/terminal_additions_20260831.csv,policy_score,slurm_job_id;source_log,,direct
