csv_file,score_columns,direct_provenance_columns,companion_or_mapping,provenance_status
experiment_tracking/additional_results_20260906.csv,success_30m;success_2h;success_6h;success_full_record;latest_eval_final_success,job_id;logged_timeouts;log_path;completion_record_path,,direct
experiment_tracking/advisor_figures/pw_kmin3_30min_sensitivity.csv,original_successes;successful_instances_over_30m;successes_under_30m_counterfactual;original_mean_coverage;mean_coverage_under_30m,,experiment_tracking/mcts_progressive_widening_sensitivity/kmin3_success_runtime_instances.csv;experiment_tracking/mcts_progressive_widening_sensitivity/results.csv,companion
experiment_tracking/advisor_followup_20260910/counters_policy_mcts_failure_global.csv,policy_success;mcts_success;policy_success_mcts_failure;mcts_job_id;mcts_completion_ledger,mcts_job_id;policy_job_id;policy_log;mcts_completion_ledger,,direct
experiment_tracking/advisor_followup_20260910/counters_visit_audit_latest_milestones.csv,policy_mcts_disagreement_rate,source_log,,direct
experiment_tracking/advisor_followup_20260910/counters_visit_audit_manifest.csv,reference_mcts_evidence,policy_checkpoint_source;reference_policy_log;reference_mcts_evidence;submitted_job_id;submitted_output_log,,direct
experiment_tracking/advisor_followup_20260910/fo_stage2_validation_exact_recovery_20260912.csv,source_score_before_recovery,source_job_id;source_score_before_recovery;recovery_job_id;remote_log,,direct
experiment_tracking/advisor_followup_20260910/fo_stage2_validation_recovery_progress_latest.csv,success_instances,recovery_job_id;source_job_id;source_log,,direct
experiment_tracking/advisor_followup_20260910/fo_stage2_validation_vh_off_exact_seed_results_20260913.csv,policy_score;mcts_30m;mcts_2h;mcts_6h;source_mcts_logs,source_training_job_id;source_policy_job_id;source_policy_log;source_mcts_logs;source_completion_ledgers;evidence_status,,direct
experiment_tracking/advisor_followup_20260910/fo_stage2_validation_vh_on_exact_seed_results_20260912.csv,mcts_30m;mcts_2h;mcts_6h,source_job_id;recovery_job_id;source_evaluation_log;source_completion_ledger;evidence_status,,direct
experiment_tracking/advisor_followup_20260910/live_result_progress_20260913_2345.csv,success_lower_bound,job_ids;source,,direct
experiment_tracking/advisor_followup_20260910/live_result_progress_20260914_0021.csv,success_lower_bound,job_ids;source,,direct
experiment_tracking/advisor_followup_20260910/mprime_pw70_live_lower_bounds_20260914_2321.csv,policy_mean,per_seed_ledger,,direct
experiment_tracking/advisor_followup_20260910/rq2_pw70_branch_latest.csv,vh_off_policy_mean;vh_off_fixed_mcts_mean,,,needs_mapping
experiment_tracking/advisor_followup_20260910/rq2_raw_means_validation_led.csv,policy_mean;mcts_30m_mean;mcts_2h_mean;mcts_6h_mean,evidence_status;seed_level_source;job_log_columns,,direct
experiment_tracking/advisor_followup_20260910/rq4_pw70_branch_latest.csv,vh_off_policy_mean;vh_on_policy_mean;vh_off_fixed_mcts_mean;vh_on_fixed_mcts_mean,,,needs_mapping
experiment_tracking/advisor_followup_20260910/rq4_raw_means_validation_led.csv,policy_mean;mcts_30m_mean;mcts_2h_mean;mcts_6h_mean,evidence_status;seed_level_source;job_log_columns,,direct
experiment_tracking/advisor_followup_20260910/terminal_led_archive_index.csv,new_mcts_evaluation,evidence_type;source,,direct
experiment_tracking/advisor_followup_20260910/yarin_external_results_latest.csv,source_test_score;external_score,source_policy_job_id;source_test_score;external_array_job_id;source_test_log;external_log,,direct
experiment_tracking/advisor_meeting_20260910/before_review/03_mcts_cutoff_forest.csv,policy_mean;mcts_mean,,,needs_mapping
experiment_tracking/anchor_kl_control_live_progress_20260909.csv,validation_successes,job_id;source_training_log,,direct
experiment_tracking/anchor_kl_control_progress_latest.csv,validation_successes,job_id;constant_job_id;path,,direct
experiment_tracking/anchor_kl_epoch0_policy_results_latest.csv,test_successes,training_job_id;evaluation_job_id;source_training_log;source_evaluation_log,,direct
experiment_tracking/bg_validation_mcts_provenance_20260905.csv,success_30m;success_2h;success_6h;success_full_record;latest_eval_final_success,job_id;logged_timeouts;log_path;completion_record_path,,direct
experiment_tracking/block_grouping_tie_break_screen_20260913/manifest.csv,source_mcts_job_id;source_mcts_log,source_training_job_id;source_policy_job_id;source_policy_log;source_mcts_job_id;source_mcts_log,,direct
experiment_tracking/counters_seed_divergence_audit_20260914/per_instance_divergence.csv,policy_score,policy_log;search_completion_log;search_text_log,,direct
experiment_tracking/counters_seed_divergence_audit_20260914/per_instance_pair_join.csv,policy_score,policy_log;action_id_completion_log;policy_prior_completion_log,,direct
experiment_tracking/counters_terminal_stage2_narrow_seed_results_latest.csv,policy_score;mcts_30m;mcts_2h;mcts_6h;mcts_job_id;source_mcts_log,mcts_job_id;source_training_job;source_policy_job;source_policy_log;source_mcts_log,,direct
experiment_tracking/counters_terminal_stage2_narrow_statistics_latest.csv,policy_mean;mcts_mean_30m;mcts_mean_2h;mcts_mean_6h,,experiment_tracking/counters_terminal_stage2_narrow_seed_results_latest.csv,companion
experiment_tracking/counters_tie_break_3way_20260911/compact_results/21185509_0_off_action_id_milestones.csv,policy_mcts_disagreement_rate,source_log,,direct
experiment_tracking/counters_tie_break_3way_20260911/compact_results/21185509_1_on_action_id_milestones.csv,policy_mcts_disagreement_rate,source_log,,direct
experiment_tracking/counters_tie_break_3way_20260911/compact_results/21185509_2_off_q_milestones.csv,policy_mcts_disagreement_rate,source_log,,direct
experiment_tracking/counters_tie_break_3way_20260911/compact_results/21185509_3_on_q_milestones.csv,policy_mcts_disagreement_rate,source_log,,direct
