array_index	recovery_id	source_job_id	experiment_scope	value_head	seed	architecture_module	missing_instance_numbers	skip_instance_numbers	missing_count	checkpoint	checkpoint_b64	width	iterations	puct	estimator	workers	requested_cpus	requested_memory	time_limit	instance_timeout_seconds	source_log	source_completion_ledger	source_invocation_count
0	rover-recover-20430090	20430090	stage1_validation_selected_fixed_20_70	on	1239739722	rover	13;16;17	1,2,3,4,5,6,7,8,9,10,11,12,14,15,18,19,20	3	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:54.950169/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905448-7d9a779/snapshots/snapshot_112_0.625	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlci0yMDI2LTA4LTIwVDE4OjEzOjU0Ljk1MDE2OS9QW2RvbWFpbixwZmlsZTEscGZpbGUyLHBmaWxlMyxwZmlsZTRdLVNbMC4wMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkwNTQ0OC03ZDlhNzc5L3NuYXBzaG90cy9zbmFwc2hvdF8xMTJfMC42MjU=	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430090_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401241_e0112.txt	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430090.eval_completed.jsonl	1
1	rover-recover-20430093	20430093	stage1_validation_selected_fixed_20_70	on	2082152039	rover	18	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:12:54.279723/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-faf7d6/snapshots/snapshot_77_0.750	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlci0yMDI2LTA4LTIwVDE4OjEyOjU0LjI3OTcyMy9QW2RvbWFpbixwZmlsZTEscGZpbGUyLHBmaWxlMyxwZmlsZTRdLVNbMC4wMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkwNTQ0Ny1mYWY3ZDYvc25hcHNob3RzL3NuYXBzaG90Xzc3XzAuNzUw	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430093_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20401244_e0077.txt	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430093.eval_completed.jsonl	1
2	rover-recover-20430096	20430096	stage1_validation_selected_fixed_20_70	on	1972442430	rover	20	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:01.854070/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-72aea46/snapshots/snapshot_71_0.750	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlci0yMDI2LTA4LTIwVDE4OjEzOjAxLjg1NDA3MC9QW2RvbWFpbixwZmlsZTEscGZpbGUyLHBmaWxlMyxwZmlsZTRdLVNbMC4wMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkwNTQ0Ny03MmFlYTQ2L3NuYXBzaG90cy9zbmFwc2hvdF83MV8wLjc1MA==	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430096_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20401247_e0071.txt	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430096.eval_completed.jsonl	1
3	rover-recover-20430097	20430097	stage1_validation_selected_fixed_20_70	off	1963100312	rover	19	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:01.854128/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-2fc32f3/snapshots/snapshot_25_0.375	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlci0yMDI2LTA4LTIwVDE4OjEzOjAxLjg1NDEyOC9QW2RvbWFpbixwZmlsZTEscGZpbGUyLHBmaWxlMyxwZmlsZTRdLVNbMC4wMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkwNTQ0Ny0yZmMzMmYzL3NuYXBzaG90cy9zbmFwc2hvdF8yNV8wLjM3NQ==	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430097_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401248_e0025.txt	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430097.eval_completed.jsonl	1
4	rover-recover-20430098	20430098	stage1_validation_selected_fixed_20_70	off	2011206605	rover	17	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:01.854160/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-067843/snapshots/snapshot_44_0.625	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlci0yMDI2LTA4LTIwVDE4OjEzOjAxLjg1NDE2MC9QW2RvbWFpbixwZmlsZTEscGZpbGUyLHBmaWxlMyxwZmlsZTRdLVNbMC4wMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkwNTQ0Ny0wNjc4NDMvc25hcHNob3RzL3NuYXBzaG90XzQ0XzAuNjI1	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430098_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401249_e0044.txt	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430098.eval_completed.jsonl	1
5	rover-recover-20430099	20430099	stage1_validation_selected_fixed_20_70	off	1073581256	rover	17	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:53.487394/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-1247c09/snapshots/snapshot_40_0.625	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlci0yMDI2LTA4LTIwVDE4OjEzOjUzLjQ4NzM5NC9QW2RvbWFpbixwZmlsZTEscGZpbGUyLHBmaWxlMyxwZmlsZTRdLVNbMC4wMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkwNTQ0Ny0xMjQ3YzA5L3NuYXBzaG90cy9zbmFwc2hvdF80MF8wLjYyNQ==	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430099_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401250_e0040.txt	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430099.eval_completed.jsonl	1
6	rover-recover-20430101	20430101	stage1_validation_selected_fixed_20_70	off	1472491096	rover	20	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:53.487389/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-43e0a7a/snapshots/snapshot_64_0.750	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlci0yMDI2LTA4LTIwVDE4OjEzOjUzLjQ4NzM4OS9QW2RvbWFpbixwZmlsZTEscGZpbGUyLHBmaWxlMyxwZmlsZTRdLVNbMC4wMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkwNTQ0Ny00M2UwYTdhL3NuYXBzaG90cy9zbmFwc2hvdF82NF8wLjc1MA==	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430101_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401252_e0064.txt	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430101.eval_completed.jsonl	1
7	rover-recover-20430103	20430103	stage1_validation_selected_fixed_20_70	off	2082152039	rover	17;19	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20	2	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover-2026-08-20T18:13:08.633221/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04905447-faf7d6/snapshots/snapshot_21_0.250	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlci0yMDI2LTA4LTIwVDE4OjEzOjA4LjYzMzIyMS9QW2RvbWFpbixwZmlsZTEscGZpbGUyLHBmaWxlMyxwZmlsZTRdLVNbMC4wMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkwNTQ0Ny1mYWY3ZDYvc25hcHNob3RzL3NuYXBzaG90XzIxXzAuMjUw	20	70	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430103_Ev_rover_rover_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20401254_e0021.txt	/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/.resume_state/20430103.eval_completed.jsonl	2
8	rover-recover-20559583	20559583	stage2_terminal_led_fixed_20_200	on	534933607	rover_mcts	20	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-24T21:51:05.660944/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04911425-3c74d66/snapshots/snapshot_0_1.0000	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlcl9tY3RzLTIwMjYtMDgtMjRUMjE6NTE6MDUuNjYwOTQ0L1BbZG9tYWluLHBmaWxlMSxwZmlsZTIscGZpbGUzLHBmaWxlNF0tU1swLjAwMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkxMTQyNS0zYzc0ZDY2L3NuYXBzaG90cy9zbmFwc2hvdF8wXzEuMDAwMA==	20	200	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559583_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10TCM_src20489477_e0000.txt	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559583.eval_completed.jsonl	2
9	rover-recover-20559586	20559586	stage2_terminal_led_fixed_20_200	on	2011206605	rover_mcts	20	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	1	/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-24T22:22:19.487375/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04911456-067843/snapshots/snapshot_0_1.0000	L2hvbWUvaGVyc2NvL2JlcnNoY28tbnUtYXNuZXRzL251bWVyaWMtYXNuZXRzL2FzbmV0cy9leHBlcmltZW50LXJlc3VsdHMvZXhwZXJpbWVudHNfbnVtZXJpYy5kb21haW4ucm92ZXItZXhwZXJpbWVudHNfbnVtZXJpYy5hcmNoaXRlY3R1cmVfMi5yb3Zlcl9tY3RzLTIwMjYtMDgtMjRUMjI6MjI6MTkuNDg3Mzc1L1BbZG9tYWluLHBmaWxlMSxwZmlsZTIscGZpbGUzLHBmaWxlNF0tU1swLjAwMDMsNTAsZW5oc3AtaG1ycC1oYS1nYmZzXS1NT1tdLVRbNTE4NDAwXS0wNDkxMTQ1Ni0wNjc4NDMvc25hcHNob3RzL3NuYXBzaG90XzBfMS4wMDAw	20	200	0.1	0.5	2	4	160G	13:00:00	21600	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559586_Ev_rover_rover_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10TCM_src20489485_e0000.txt	/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559586.eval_completed.jsonl	1
