aggregate_file,scope,row_level_companion,backtrace_fields,status
experiment_tracking/cluster_workload_summary_latest.csv,current Slurm workload,experiment_tracking/live_mcts_job_provenance_20260905_1314.csv,job_id;job_name;state;node;log_path;completion_record_path,complete
experiment_tracking/live_experiment_status_latest.csv,current live experiment groups,experiment_tracking/live_mcts_job_provenance_20260905_1314.csv,job_id;state;elapsed;requested_cpus;requested_memory;log_path;completion_record_path,complete
experiment_tracking/stage2_mcts_branch_coverage_20260905.csv,all five mainstream Stage2 branch cells,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/bg_validation_mcts_provenance_20260905.csv;experiment_tracking/fo_terminal_mcts_provenance_20260905.csv,seed;source_training_job_id;selected_epoch;policy_log;mcts_log or log_path;completion_record_path,complete
experiment_tracking/stage2_policy_mcts_comparison_by_branch_20260905.csv,Stage2 policy versus MCTS aggregates,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/bg_validation_mcts_provenance_20260905.csv;experiment_tracking/fo_terminal_mcts_provenance_20260905.csv;experiment_tracking/fo_job20559567_dedup_val_summary_20260905.csv;experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_matched_10seed.csv;experiment_tracking/live_mcts_job_provenance_20260905_1314.csv,seed;policy_log;source_training_job_id;mcts job_id;log_path;completion_record_path,complete
experiment_tracking/mcts_progressive_widening_cross_domain/pw70_live_summary_20260905.csv,PW70 correction and confirmation,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_seed_results_20260904.csv;experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_reconciliation_20260902.csv;experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_matched_10seed.csv;experiment_tracking/live_mcts_job_provenance_20260905_1314.csv,seed;source_pw_log;source_fixed_log;job_id;completion_record_path,complete
experiment_tracking/advisor_audit_20260830/rq_results.csv,RQ1 and RQ3 paired results,experiment_tracking/policy_paired_seed_results.csv;experiment_tracking/policy_endpoint_results.csv,experiment_id;domain;value_head;seed;before_log;after_log;source_training_job_id,complete
experiment_tracking/experiment_statistics.csv,policy and Stage1 MCTS endpoint statistics,experiment_tracking/policy_paired_seed_results.csv;experiment_tracking/mcts_paired_seed_results.csv,experiment_id;domain;value_head;seed;policy_log;mcts_log,complete
experiment_tracking/preserve3_terminal_led/terminal_led_selected_summary_20260903.csv,PRESERVE-3 terminal-led,experiment_tracking/preserve3_terminal_led/terminal_led_selected_seed_results_20260903.csv;experiment_tracking/preserve3_terminal_led/delivery_policy_retry_results_20260904.csv;experiment_tracking/preserve3_terminal_led/terminal_stage2_tpp_off_policy_results_20260904.csv;experiment_tracking/preserve3_terminal_led/tpp_on_policy_results_latest_20260904.csv,seed;source_training_log;stage1_policy_log;stage2_training_job_id;stage2_policy_job_id;stage2_policy_log,complete
experiment_tracking/four_domain_preservation/stable_domain_stage2_statistics_20260902.csv,PRESERVE-3 validation-led,experiment_tracking/four_domain_preservation/stable_domain_stage2_selected_seed_results_20260902.csv,domain;value_head;seed;seed_role;stage1_log;stage2_log;source_training_job_id,complete
experiment_tracking/mprime_validation_ipc_scale_v1/validation_adequacy_phase_a_stage2_summary_20260903.csv,MPrime validation Phase A,experiment_tracking/mprime_validation_ipc_scale_v1/validation_adequacy_phase_a_stage2_checkpoints_20260903.csv,branch;value_head;seed;anchor;epoch;training_job_id;training_log,complete
experiment_tracking/stage2_policy_mcts_comparison_by_branch_20260906.csv,current Stage2 both branches,experiment_tracking/rover_validation_seed_results_20260906.csv;experiment_tracking/job_refresh_20260906.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv,job_id;checkpoint;training_log;policy_log;mcts_log;completion_record,complete
experiment_tracking/mcts_progressive_widening_cross_domain/mixed_pw20_pw70_comparison_20260906.csv,PW20 versus PW70 and fixed,experiment_tracking/mcts_progressive_widening_cross_domain/terminal_results_20260901.csv;experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_cutoffs_20260906.csv,pw_job;fixed_job;source_pw_log;source_log,complete; lower-bound timing explicitly marked
