experiment_id,domain,value_head,seed,mcts_job_id,slurm_state,exit_code,elapsed,width,iterations,puct,estimator,successes,ordinary_failures,instance_timeouts,timeout_instance_numbers,unprocessed_after_job_end,classified_instances,total_instances,inline_val_valid,inline_val_invalid,inline_val_agrees,source_evaluation_log,completion_manifest_local,validation_status,posthoc_val_audit_job,posthoc_val_valid,posthoc_val_invalid,posthoc_val_summary,notes
MAIN-VAL,block_grouping,off,1963100312,20594580,COMPLETED,0:0,07:28:12,5,20,0.1,0.5,15,5,0,,0,20,20,15,0,true,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594580_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401187_e0044.txt,,inline_VAL_agreement,,,,,Correct primary narrow configuration: width 5 / 20 iterations / PUCT 0.1 / estimator 0.5; per-instance timeouts are classified failures
MAIN-VAL,block_grouping,off,2011206605,20594581,COMPLETED,0:0,07:50:31,5,20,0.1,0.5,15,5,0,,0,20,20,15,0,true,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594581_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401188_e0040.txt,,inline_VAL_agreement,,,,,Correct primary narrow configuration: width 5 / 20 iterations / PUCT 0.1 / estimator 0.5; per-instance timeouts are classified failures
MAIN-VAL,block_grouping,off,1073581256,20594582,COMPLETED,0:0,06:01:35,5,20,0.1,0.5,15,5,0,,0,20,20,15,0,true,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,,inline_VAL_agreement,,,,,Correct primary narrow configuration: width 5 / 20 iterations / PUCT 0.1 / estimator 0.5; per-instance timeouts are classified failures
MAIN-VAL,block_grouping,off,1239739722,20594583,COMPLETED,0:0,09:14:15,5,20,0.1,0.5,15,5,1,19,0,20,20,15,0,true,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594583_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401190_e0027.txt,,inline_VAL_agreement,,,,,Correct primary narrow configuration: width 5 / 20 iterations / PUCT 0.1 / estimator 0.5; per-instance timeouts are classified failures
MAIN-VAL,block_grouping,off,1472491096,20594584,COMPLETED,0:0,08:17:40,5,20,0.1,0.5,16,4,1,20,0,20,20,16,0,true,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594584_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401191_e0030.txt,,inline_VAL_agreement,,,,,Correct primary narrow configuration: width 5 / 20 iterations / PUCT 0.1 / estimator 0.5; per-instance timeouts are classified failures
MAIN-VAL,block_grouping,off,534933607,20594585,COMPLETED,0:0,08:59:20,5,20,0.1,0.5,16,4,2,"19,20",0,20,20,16,0,true,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594585_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401192_e0012.txt,,inline_VAL_agreement,,,,,Correct primary narrow configuration: width 5 / 20 iterations / PUCT 0.1 / estimator 0.5; per-instance timeouts are classified failures
MAIN-VAL,block_grouping,off,2082152039,20594587,COMPLETED,0:0,08:27:16,5,20,0.1,0.5,16,4,1,20,0,20,20,16,0,true,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594587_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20401193_e0018.txt,,inline_VAL_agreement,,,,,Correct primary narrow configuration: width 5 / 20 iterations / PUCT 0.1 / estimator 0.5; per-instance timeouts are classified failures
MAIN-VAL,block_grouping,off,1510771779,20594588,COMPLETED,0:0,08:09:31,5,20,0.1,0.5,16,4,1,20,0,20,20,16,0,true,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594588_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20401194_e0034.txt,,inline_VAL_agreement,,,,,Correct primary narrow configuration: width 5 / 20 iterations / PUCT 0.1 / estimator 0.5; per-instance timeouts are classified failures
MAIN-VAL,block_grouping,off,923500475,20594589,COMPLETED,0:0,08:36:05,5,20,0.1,0.5,14,6,1,20,0,20,20,14,0,true,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594589_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20401195_e0008.txt,,inline_VAL_agreement,,,,,Correct primary narrow configuration: width 5 / 20 iterations / PUCT 0.1 / estimator 0.5; per-instance timeouts are classified failures
MAIN-VAL,block_grouping,off,1972442430,20594590,COMPLETED,0:0,07:28:21,5,20,0.1,0.5,16,4,0,,0,20,20,16,0,true,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594590_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20401196_e0017.txt,,inline_VAL_agreement,,,,,Correct primary narrow configuration: width 5 / 20 iterations / PUCT 0.1 / estimator 0.5; per-instance timeouts are classified failures
MAIN-VAL,block_grouping,on,1963100312,20430030,COMPLETED,0:0,08:26:04,5,20,0.1,0.5,17,3,0,,0,20,20,17,0,true,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430030_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20401177_e0004.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430030.eval_completed.jsonl,inline_VAL_agreement,,,,,Per-instance timeouts are classified failures; only unprocessed_after_job_end denotes instances never reached before OOM/scheduler termination
MAIN-VAL,block_grouping,on,2011206605,20430031,COMPLETED,0:0,08:49:36,5,20,0.1,0.5,17,2,1,20,0,20,20,17,0,true,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430031_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20401178_e0026.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430031.eval_completed.jsonl,inline_VAL_agreement,,,,,Per-instance timeouts are classified failures; only unprocessed_after_job_end denotes instances never reached before OOM/scheduler termination
MAIN-VAL,block_grouping,on,1073581256,20430032,COMPLETED,0:0,08:11:26,5,20,0.1,0.5,15,3,2,19;20,0,20,20,15,0,true,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430032_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1073581256_K0_SR10M_src20401179_e0011.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430032.eval_completed.jsonl,inline_VAL_agreement,,,,,Per-instance timeouts are classified failures; only unprocessed_after_job_end denotes instances never reached before OOM/scheduler termination
MAIN-VAL,block_grouping,on,1239739722,20430033,COMPLETED,0:0,09:42:22,5,20,0.1,0.5,14,4,2,19;20,0,20,20,14,0,true,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430033_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1239739722_K0_SR10M_src20401180_e0023.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430033.eval_completed.jsonl,inline_VAL_agreement,,,,,Per-instance timeouts are classified failures; only unprocessed_after_job_end denotes instances never reached before OOM/scheduler termination
MAIN-VAL,block_grouping,on,1472491096,20430034,COMPLETED,0:0,09:09:38,5,20,0.1,0.5,17,2,1,20,0,20,20,17,0,true,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430034_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1472491096_K0_SR10M_src20401181_e0002.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430034.eval_completed.jsonl,inline_VAL_agreement,,,,,Per-instance timeouts are classified failures; only unprocessed_after_job_end denotes instances never reached before OOM/scheduler termination
MAIN-VAL,block_grouping,on,534933607,20430035,COMPLETED,0:0,08:21:09,5,20,0.1,0.5,16,2,2,19;20,0,20,20,16,0,true,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430035_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s534933607_K0_SR10M_src20401182_e0019.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430035.eval_completed.jsonl,inline_VAL_agreement,,,,,Per-instance timeouts are classified failures; only unprocessed_after_job_end denotes instances never reached before OOM/scheduler termination
MAIN-VAL,block_grouping,on,2082152039,20430036,COMPLETED,0:0,08:41:53,5,20,0.1,0.5,16,2,2,19;20,0,20,20,16,0,true,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430036_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20401183_e0011.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430036.eval_completed.jsonl,inline_VAL_agreement,,,,,Per-instance timeouts are classified failures; only unprocessed_after_job_end denotes instances never reached before OOM/scheduler termination
MAIN-VAL,block_grouping,on,1510771779,20430037,COMPLETED,0:0,08:15:07,5,20,0.1,0.5,16,2,2,19;20,0,20,20,16,0,true,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430037_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1510771779_K0_SR10M_src20401184_e0088.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430037.eval_completed.jsonl,inline_VAL_agreement,,,,,Per-instance timeouts are classified failures; only unprocessed_after_job_end denotes instances never reached before OOM/scheduler termination
MAIN-VAL,block_grouping,on,923500475,20430038,COMPLETED,0:0,08:18:25,5,20,0.1,0.5,18,2,0,,0,20,20,18,0,true,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430038_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s923500475_K0_SR10M_src20401185_e0020.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430038.eval_completed.jsonl,inline_VAL_agreement,,,,,Per-instance timeouts are classified failures; only unprocessed_after_job_end denotes instances never reached before OOM/scheduler termination
MAIN-VAL,block_grouping,on,1972442430,20430039,COMPLETED,0:0,08:19:51,5,20,0.1,0.5,16,4,0,,0,20,20,16,0,true,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430039_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s1972442430_K0_SR10M_src20401186_e0005.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430039.eval_completed.jsonl,inline_VAL_agreement,,,,,Per-instance timeouts are classified failures; only unprocessed_after_job_end denotes instances never reached before OOM/scheduler termination
MAIN-VAL,drone,off,1963100312,20451722,COMPLETED,0:0,12:08:21,20,70,0.1,0.5,10,6,4,10;14;19;20,0,20,20,10,0,true,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451722_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401207_e0157.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20451722.eval_completed.jsonl,inline_VAL_agreement,,,,,Per-instance timeouts are classified failures; only unprocessed_after_job_end denotes instances never reached before OOM/scheduler termination
MAIN-VAL,drone,off,2011206605,20430057,COMPLETED,0:0,12:07:44,20,70,0.1,0.5,7,9,4,10;14;19;20,0,20,20,7,0,true,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20430057_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401208_e0040.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20430057.eval_completed.jsonl,inline_VAL_agreement,,,,,Per-instance timeouts are classified failures; only unprocessed_after_job_end denotes instances never reached before OOM/scheduler termination
MAIN-VAL,drone,off,1073581256,20451723,COMPLETED,0:0,12:08:52,20,70,0.1,0.5,6,10,4,10;14;19;20,0,20,20,6,0,true,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_mcts_eval/20451723_Ev_drone_drone_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401209_e0090.txt,C:\Users\roeeh\Desktop\School\Meitar\Thesis\Code\numeric-asnets\.codex-tmp\health_20260826\stage1_mcts_jsonl\20451723.eval_completed.jsonl,inline_VAL_agreement,,,,,Per-instance timeouts are classified failures; only unprocessed_after_job_end denotes instances never reached before OOM/scheduler termination
