experiment_id,domain,value_head,search,n,policy_mean,mcts_mean_30m,change_30m,ci95_low_30m,ci95_high_30m,raw_p_30m,mcts_mean_2h,change_2h,ci95_low_2h,ci95_high_2h,raw_p_2h,mcts_mean_6h,change_6h,ci95_low_6h,ci95_high_6h,raw_p_6h,row_level_provenance,holm_p_30m,holm_p_2h,holm_p_6h
MAIN-VAL,block_grouping,off,width5_sim20,10,16.3,11.6,-4.7,-5.5294,-3.8706000000000005,0.001953125,14.8,-1.5,-2.680196678524389,-0.3198033214756111,0.03515625,15.4,-0.9,-1.8801999999999999,0.08019999999999983,0.109375,experiment_tracking/stage1_policy_mcts_seed_cutoffs_latest.csv,0.01953125,0.1875,0.546875
MAIN-VAL,block_grouping,on,width5_sim20,10,15.9,12.0,-3.9,-4.936578622199011,-2.863421377800989,0.001953125,14.0,-1.9,-2.936578622199011,-0.8634213778009889,0.009765625,16.2,0.3,-0.28889282556336177,0.8888928255633617,0.453125,experiment_tracking/stage1_policy_mcts_seed_cutoffs_latest.csv,0.01953125,0.068359375,0.75
MAIN-VAL,counters,off,width5_sim20,10,32.5,24.9,-7.6,-18.51712847959572,3.3171284795957217,0.203125,25.6,-6.9,-17.952981644787073,4.152981644787074,0.25,25.7,-6.8,-17.73065974953022,4.130659749530218,0.25,experiment_tracking/stage1_policy_mcts_seed_cutoffs_latest.csv,0.40625,0.5,0.75
MAIN-VAL,counters,on,width5_sim20,10,18.6,20.3,1.7,-8.942089661340013,12.342089661340012,0.787109375,22.1,3.5,-5.562126472302182,12.562126472302182,0.453125,22.5,3.9,-4.328278704565129,12.12827870456513,0.328125,experiment_tracking/stage1_policy_mcts_seed_cutoffs_latest.csv,0.787109375,0.5,0.75
MAIN-VAL,drone,off,width20_sim70,10,5.9,6.9,1.0,0.04625705769321686,1.9537429423067831,0.07421875,6.9,1.0,0.04625705769321686,1.9537429423067831,0.07421875,6.9,1.0,0.04625705769321686,1.9537429423067831,0.07421875,experiment_tracking/stage1_policy_mcts_seed_cutoffs_latest.csv,0.3125,0.296875,0.4453125
MAIN-VAL,drone,on,width20_sim70,10,5.1,10.0,4.9,3.070093106193652,6.729906893806349,0.001953125,10.4,5.3,3.4210416822079317,7.178958317792068,0.001953125,10.4,5.3,3.4210416822079317,7.178958317792068,0.001953125,experiment_tracking/stage1_policy_mcts_seed_cutoffs_latest.csv,0.01953125,0.01953125,0.01953125
MAIN-VAL,fo_counters,off,width20_sim70,10,4.2,7.5,3.3,2.0360656820862877,4.563934317913712,0.00390625,7.8,3.6,2.201538330879248,4.998461669120752,0.00390625,7.8,3.6,2.201538330879248,4.998461669120752,0.00390625,experiment_tracking/stage1_policy_mcts_seed_cutoffs_latest.csv,0.02734375,0.03515625,0.03515625
MAIN-VAL,fo_counters,on,width20_sim70,10,3.7,5.3,1.6,0.8310678573502082,2.368932142649792,0.00390625,5.7,2.0,1.0462570576932169,2.953742942306783,0.00390625,5.7,2.0,1.0462570576932169,2.953742942306783,0.00390625,experiment_tracking/stage1_policy_mcts_seed_cutoffs_latest.csv,0.02734375,0.03515625,0.03515625
MAIN-VAL,rover,off,width20_sim70,10,4.0,4.8,0.8,0.06123389357659359,1.5387661064234064,0.0625,5.0,1.0,0.246,1.754,0.03125,5.0,1.0,0.246,1.754,0.03125,experiment_tracking/stage1_policy_mcts_seed_cutoffs_latest.csv,0.3125,0.1875,0.21875
MAIN-VAL,rover,on,width20_sim70,10,3.8,4.4,0.6,-0.0031999999999999806,1.2031999999999998,0.125,4.4,0.6,-0.0031999999999999806,1.2031999999999998,0.125,4.4,0.6,-0.0031999999999999806,1.2031999999999998,0.125,experiment_tracking/stage1_policy_mcts_seed_cutoffs_latest.csv,0.375,0.375,0.546875
