experiment_id,domain,value_head,seed,search,policy_score,mcts_30m,mcts_2h,mcts_6h,mcts_job_id,source_policy_log,source_mcts_log,source_completion_ledger
MAIN-VAL,block_grouping,off,1963100312,width5_sim20,18.0,12,15,15,20594580,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424828_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10P_src20401187_e0044.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594580_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20401187_e0044.txt,
MAIN-VAL,block_grouping,off,2011206605,width5_sim20,15.0,10,12,15,20594581,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424847_Ev_block_grouping_block_grouping_orig_novh_c.1_s2011206605_SR10P_src20401188_e0040.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594581_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20401188_e0040.txt,
MAIN-VAL,block_grouping,off,1073581256,width5_sim20,15.0,11,15,15,20594582,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424895_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10P_src20401189_e0023.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594582_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20401189_e0023.txt,
MAIN-VAL,block_grouping,off,1239739722,width5_sim20,17.0,11,14,15,20594583,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425135_Ev_block_grouping_block_grouping_orig_novh_c.1_s1239739722_SR10P_src20401190_e0027.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594583_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20401190_e0027.txt,
MAIN-VAL,block_grouping,off,1472491096,width5_sim20,15.0,12,16,16,20594584,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425141_Ev_block_grouping_block_grouping_orig_novh_c.1_s1472491096_SR10P_src20401191_e0030.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594584_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20401191_e0030.txt,
MAIN-VAL,block_grouping,off,534933607,width5_sim20,17.0,12,16,16,20594585,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425164_Ev_block_grouping_block_grouping_orig_novh_c.1_s534933607_SR10P_src20401192_e0012.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594585_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20401192_e0012.txt,
MAIN-VAL,block_grouping,off,2082152039,width5_sim20,15.0,12,16,16,20594587,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425179_Ev_block_grouping_block_grouping_orig_novh_c.1_s2082152039_SR10P_src20401193_e0018.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594587_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20401193_e0018.txt,
MAIN-VAL,block_grouping,off,1510771779,width5_sim20,18.0,12,15,16,20594588,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425196_Ev_block_grouping_block_grouping_orig_novh_c.1_s1510771779_SR10P_src20401194_e0034.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594588_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20401194_e0034.txt,
MAIN-VAL,block_grouping,off,923500475,width5_sim20,16.0,12,14,14,20594589,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425208_Ev_block_grouping_block_grouping_orig_novh_c.1_s923500475_SR10P_src20401195_e0008.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594589_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20401195_e0008.txt,
MAIN-VAL,block_grouping,off,1972442430,width5_sim20,17.0,12,15,16,20594590,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425222_Ev_block_grouping_block_grouping_orig_novh_c.1_s1972442430_SR10P_src20401196_e0017.txt,/home/hersco/training_new_domains/2026-08-26/statistical_replication_stage1_mcts_eval/20594590_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20401196_e0017.txt,
