branch,domain,value_head,seed,stage1_endpoint,stage1_epoch,stage1_score,stage2_epoch,stage2_epoch0_score,change_after_first_update,total,stage1_training_job_id,stage2_training_job_id,epoch0_evaluation_job_id,source_stage1_training_log,source_stage1_evaluation_log,source_stage2_training_log,source_epoch0_evaluation_log
MAIN-TERM,block_grouping,off,534933607,final,62,17,0,18,1,20,20401192,20489385,20523448,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401192_Tr_block_grouping_block_grouping_orig_novh_c.1_s534933607_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489180_Ev_block_grouping_block_grouping_orig_novh_c.1_s534933607_SR10TCP_src20401192_e0062.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489385_Re-Tr_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCT_src20401192_e0062.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523448_Ev_block_grouping_block_grouping_orig_novh_c.1_s534933607_SR10TCP_src20489385_e0000.txt
MAIN-TERM,block_grouping,off,923500475,final,58,18,0,18,0,20,20401195,20489386,20523511,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401195_Tr_block_grouping_block_grouping_orig_novh_c.1_s923500475_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489181_Ev_block_grouping_block_grouping_orig_novh_c.1_s923500475_SR10TCP_src20401195_e0058.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489386_Re-Tr_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10TCT_src20401195_e0058.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523511_Ev_block_grouping_block_grouping_orig_novh_c.1_s923500475_SR10TCP_src20489386_e0000.txt
MAIN-TERM,block_grouping,off,1073581256,final,73,17,0,13,-4,20,20401189,20489387,20523291,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401189_Tr_block_grouping_block_grouping_orig_novh_c.1_s1073581256_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489182_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10TCP_src20401189_e0073.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489387_Re-Tr_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10TCT_src20401189_e0073.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523291_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10TCP_src20489387_e0000.txt
MAIN-TERM,block_grouping,off,1239739722,final,77,18,0,17,-1,20,20401190,20489388,20523317,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401190_Tr_block_grouping_block_grouping_orig_novh_c.1_s1239739722_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489183_Ev_block_grouping_block_grouping_orig_novh_c.1_s1239739722_SR10TCP_src20401190_e0077.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489388_Re-Tr_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10TCT_src20401190_e0077.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523317_Ev_block_grouping_block_grouping_orig_novh_c.1_s1239739722_SR10TCP_src20489388_e0000.txt
MAIN-TERM,block_grouping,off,1472491096,final,80,18,0,13,-5,20,20401191,20489389,20523339,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401191_Tr_block_grouping_block_grouping_orig_novh_c.1_s1472491096_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425151_Ev_block_grouping_block_grouping_orig_novh_c.1_s1472491096_SR10P_src20401191_e0080.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489389_Re-Tr_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCT_src20401191_e0080.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523339_Ev_block_grouping_block_grouping_orig_novh_c.1_s1472491096_SR10TCP_src20489389_e0000.txt
MAIN-TERM,block_grouping,off,1510771779,final,84,16,0,19,3,20,20401194,20489390,20523360,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401194_Tr_block_grouping_block_grouping_orig_novh_c.1_s1510771779_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489184_Ev_block_grouping_block_grouping_orig_novh_c.1_s1510771779_SR10TCP_src20401194_e0084.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489390_Re-Tr_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCT_src20401194_e0084.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523360_Ev_block_grouping_block_grouping_orig_novh_c.1_s1510771779_SR10TCP_src20489390_e0000.txt
MAIN-TERM,block_grouping,off,1963100312,final,94,13,0,15,2,20,20401187,20489391,20523381,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401187_Tr_block_grouping_block_grouping_orig_novh_c.1_s1963100312_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489185_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10TCP_src20401187_e0094.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489391_Re-Tr_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10TCT_src20401187_e0094.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523381_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10TCP_src20489391_e0000.txt
MAIN-TERM,block_grouping,off,1972442430,final,67,16,0,16,0,20,20401196,20489392,20523402,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401196_Tr_block_grouping_block_grouping_orig_novh_c.1_s1972442430_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489186_Ev_block_grouping_block_grouping_orig_novh_c.1_s1972442430_SR10TCP_src20401196_e0067.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489392_Re-Tr_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10TCT_src20401196_e0067.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523402_Ev_block_grouping_block_grouping_orig_novh_c.1_s1972442430_SR10TCP_src20489392_e0000.txt
MAIN-TERM,block_grouping,off,2011206605,final,90,17,0,16,-1,20,20401188,20489393,20523547,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401188_Tr_block_grouping_block_grouping_orig_novh_c.1_s2011206605_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20424871_Ev_block_grouping_block_grouping_orig_novh_c.1_s2011206605_SR10P_src20401188_e0090.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489393_Re-Tr_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10TCT_src20401188_e0090.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523547_Ev_block_grouping_block_grouping_orig_novh_c.1_s2011206605_SR10TCP_src20489393_e0000.txt
MAIN-TERM,block_grouping,off,2082152039,final,68,13,0,12,-1,20,20401193,20489394,20523427,/home/hersco/training_new_domains/2026-08-20/statistical_replication_stage1_10seed/20401193_Tr_block_grouping_block_grouping_orig_novh_c.1_s2082152039_STATREP10_STAGE1.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage1_policy_eval/20489187_Ev_block_grouping_block_grouping_orig_novh_c.1_s2082152039_SR10TCP_src20401193_e0068.txt,/home/hersco/training_new_domains/2026-08-22/statistical_replication_terminal_stage2_train/20489394_Re-Tr_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCT_src20401193_e0068.txt,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523427_Ev_block_grouping_block_grouping_orig_novh_c.1_s2082152039_SR10TCP_src20489394_e0000.txt
