branch,domain,value_head,n,stage1_mean,stage2_epoch0_mean,mean_change_after_first_update,ci95_low,ci95_high,raw_signflip_p,holm_p_across_10_terminal_cells,seeds_losing_5_or_more,source_seed_ledger
MAIN-TERM,block_grouping,off,10,16.300,15.700,-0.600,-2.359,1.159,0.539062,1.000000,1,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-TERM,block_grouping,on,10,15.000,10.300,-4.700,-6.912,-2.488,0.005859,0.058590,7,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-TERM,counters,off,10,21.500,22.400,0.900,-10.705,12.505,0.835938,1.000000,3,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-TERM,counters,on,10,17.200,10.300,-6.900,-16.687,2.887,0.164062,1.000000,5,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-TERM,drone,off,10,7.400,6.300,-1.100,-3.191,0.991,0.328125,1.000000,1,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-TERM,drone,on,10,7.200,6.000,-1.200,-2.012,-0.388,0.031250,0.281250,0,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-TERM,fo_counters,off,10,3.600,2.400,-1.200,-2.308,-0.092,0.062500,0.500000,0,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-TERM,fo_counters,on,10,3.300,3.300,0.000,-1.012,1.012,1.000000,1.000000,0,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-TERM,rover,off,10,3.800,3.700,-0.100,-0.506,0.306,1.000000,1.000000,0,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-TERM,rover,on,10,4.100,4.000,-0.100,-0.326,0.126,1.000000,1.000000,0,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-VAL,block_grouping,off,10,15.400,15.500,0.100,-1.041,1.241,1.000000,,0,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-VAL,block_grouping,on,2,16.000,13.000,-3.000,,,,,1,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-VAL,counters,on,1,16.000,18.000,2.000,,,,,0,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-VAL,drone,off,2,7.000,5.500,-1.500,,,,,0,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-VAL,drone,on,3,10.000,4.333,-5.667,,,,,2,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-VAL,rover,off,9,4.778,4.000,-0.778,,,,,0,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
MAIN-VAL,rover,on,6,4.333,4.000,-0.333,,,,,0,experiment_tracking/stage2_epoch0_seed_audit_20260902.csv
