manifest_id,cohort,seed,domain,domain_label,value_head,rq_scope,task_type,stage,variant,architecture,teacher,source_checkpoint_ref,supervised_lr,max_epochs,original_training_set,estimator,puct,tree_sampling,anchor,width,iterations,workers,jpddl_heap,cpus,memory,time_limit,instance_timeout,completion_mode,dependency_ref,checkpoint_selection,status,notes,source_training_job_id,snapshot_epoch,analysis_roles
stage2-gap-terminal-block_grouping-on-2082152039-w5_i20,stage2-branch-completion,2082152039,block_grouping,Block Grouping,on,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow_w5_i20,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping_mcts-2026-08-23T17:39:31.216759/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04909733-faf7d6/snapshots/snapshot_62_0.7500",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489404,validation_selected,ready,Explicitly approved 2026-09-03 after exhaustive historical-log audit; terminal-led branch; Block Grouping is always narrow5/20 and FO is normal20/70,20489404,62,stage2_terminal_selected_policy_vs_mcts_branch_completion
stage2-gap-validation-block_grouping-off-534933607-w5_i20,stage2-branch-completion,534933607,block_grouping,Block Grouping,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow_w5_i20,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping_mcts-2026-08-21T11:16:20.393420/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04906470-3c74d66/snapshots/snapshot_10_0.7500",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430360,validation_selected,ready,Explicitly approved 2026-09-03 after exhaustive historical-log audit; validation-led branch; Block Grouping is always narrow5/20 and FO is normal20/70,20430360,10,stage2_validation_selected_policy_vs_mcts_branch_completion
stage2-gap-validation-block_grouping-off-923500475-w5_i20,stage2-branch-completion,923500475,block_grouping,Block Grouping,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow_w5_i20,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping_mcts-2026-08-21T11:16:51.624998/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04906470-5194f74/snapshots/snapshot_2_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430363,validation_selected,ready,Explicitly approved 2026-09-03 after exhaustive historical-log audit; validation-led branch; Block Grouping is always narrow5/20 and FO is normal20/70,20430363,2,stage2_validation_selected_policy_vs_mcts_branch_completion
stage2-gap-validation-block_grouping-off-1073581256-w5_i20,stage2-branch-completion,1073581256,block_grouping,Block Grouping,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow_w5_i20,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping_mcts-2026-08-21T11:15:39.145192/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04906469-1247c09/snapshots/snapshot_7_0.7500",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430357,validation_selected,ready,Explicitly approved 2026-09-03 after exhaustive historical-log audit; validation-led branch; Block Grouping is always narrow5/20 and FO is normal20/70,20430357,7,stage2_validation_selected_policy_vs_mcts_branch_completion
stage2-gap-validation-block_grouping-off-1239739722-w5_i20,stage2-branch-completion,1239739722,block_grouping,Block Grouping,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow_w5_i20,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping_mcts-2026-08-21T11:15:10.605678/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04906469-7d9a779/snapshots/snapshot_4_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430358,validation_selected,ready,Explicitly approved 2026-09-03 after exhaustive historical-log audit; validation-led branch; Block Grouping is always narrow5/20 and FO is normal20/70,20430358,4,stage2_validation_selected_policy_vs_mcts_branch_completion
stage2-gap-validation-block_grouping-off-1472491096-w5_i20,stage2-branch-completion,1472491096,block_grouping,Block Grouping,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow_w5_i20,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping_mcts-2026-08-21T11:15:20.661801/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04906469-43e0a7a/snapshots/snapshot_2_0.6667",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430359,validation_selected,ready,Explicitly approved 2026-09-03 after exhaustive historical-log audit; validation-led branch; Block Grouping is always narrow5/20 and FO is normal20/70,20430359,2,stage2_validation_selected_policy_vs_mcts_branch_completion
stage2-gap-validation-block_grouping-off-1510771779-w5_i20,stage2-branch-completion,1510771779,block_grouping,Block Grouping,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow_w5_i20,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping_mcts-2026-08-21T11:16:10.438407/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04906470-17cc32a/snapshots/snapshot_8_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430362,validation_selected,ready,Explicitly approved 2026-09-03 after exhaustive historical-log audit; validation-led branch; Block Grouping is always narrow5/20 and FO is normal20/70,20430362,8,stage2_validation_selected_policy_vs_mcts_branch_completion
stage2-gap-validation-block_grouping-off-1963100312-w5_i20,stage2-branch-completion,1963100312,block_grouping,Block Grouping,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow_w5_i20,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping_mcts-2026-08-21T11:14:49.897250/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04906469-2fc32f3/snapshots/snapshot_0_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430354,validation_selected,ready,Explicitly approved 2026-09-03 after exhaustive historical-log audit; validation-led branch; Block Grouping is always narrow5/20 and FO is normal20/70,20430354,0,stage2_validation_selected_policy_vs_mcts_branch_completion
stage2-gap-validation-block_grouping-off-1972442430-w5_i20,stage2-branch-completion,1972442430,block_grouping,Block Grouping,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow_w5_i20,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping_mcts-2026-08-21T11:16:19.857418/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04906470-72aea46/snapshots/snapshot_2_0.6667",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430364,validation_selected,ready,Explicitly approved 2026-09-03 after exhaustive historical-log audit; validation-led branch; Block Grouping is always narrow5/20 and FO is normal20/70,20430364,2,stage2_validation_selected_policy_vs_mcts_branch_completion
stage2-gap-validation-block_grouping-off-2011206605-w5_i20,stage2-branch-completion,2011206605,block_grouping,Block Grouping,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow_w5_i20,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping_mcts-2026-08-21T11:14:53.975709/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04906468-067843/snapshots/snapshot_0_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430355,validation_selected,ready,Explicitly approved 2026-09-03 after exhaustive historical-log audit; validation-led branch; Block Grouping is always narrow5/20 and FO is normal20/70,20430355,0,stage2_validation_selected_policy_vs_mcts_branch_completion
stage2-gap-validation-block_grouping-off-2082152039-w5_i20,stage2-branch-completion,2082152039,block_grouping,Block Grouping,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow_w5_i20,experiments_numeric.architecture_2.block_grouping_mcts,hadd-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.block_grouping-experiments_numeric.architecture_2.block_grouping_mcts-2026-08-21T11:17:10.769878/P[domain,instance_7_10_2_1,instance_20_5_2_2,inst...]-S[0.0003,50,enhsp-hadd-gbfs]-MO[]-T[518400]-04906471-faf7d6/snapshots/snapshot_2_0.6667",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430361,validation_selected,ready,Explicitly approved 2026-09-03 after exhaustive historical-log audit; validation-led branch; Block Grouping is always narrow5/20 and FO is normal20/70,20430361,2,stage2_validation_selected_policy_vs_mcts_branch_completion
