job_id,job_name,domain,value_head,seed,tag,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,exit_code,elapsed,successes,total,val_valid,val_invalid,classified_instances,successful_instance_runtime_seconds,source_evaluation_log,source_training_log
20891020,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20430360_e0010,block_grouping,off,534933607,SR10M,20430360,10,main_val_stage2_selected_mcts,COMPLETED,0:0,07:48:00,16,20,16,0,19,22.31;25.87;627.23;54.59;938.51;14.03;14.29;60.60;102.18;490.26;322.06;1796.08;343.85;4525.49;3822.34;5135.18,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891020_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20430360_e0010.txt,
20891021,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430363_e0002,block_grouping,off,923500475,SR10M,20430363,2,main_val_stage2_selected_mcts,COMPLETED,0:0,06:26:07,15,20,15,0,20,22.33;31.34;463.10;35.30;383.36;13.77;17.28;60.85;60.85;127.46;2205.32;196.39;3902.87;6737.72;5150.19,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891021_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430363_e0002.txt,
20891022,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20430357_e0007,block_grouping,off,1073581256,SR10M,20430357,7,main_val_stage2_selected_mcts,COMPLETED,0:0,06:13:51,17,20,17,0,20,28.82;33.58;1630.61;67.39;678.06;19.29;22.80;76.15;102.69;165.82;4576.14;367.19;6933.68;10254.13;4048.89;9131.54;6639.52,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891022_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20430357_e0007.txt,
20891023,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20430358_e0004,block_grouping,off,1239739722,SR10M,20430358,4,main_val_stage2_selected_mcts,OUT_OF_MEMORY,0:125,07:44:18,17,20,17,0,19,18.29;25.81;448.97;45.07;372.63;14.02;14.78;61.10;47.83;1120.96;113.08;1689.53;1070.53;195.86;3478.14;3946.84;4231.65,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891023_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20430358_e0004.txt,
20891024,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430359_e0002,block_grouping,off,1472491096,SR10M,20430359,2,main_val_stage2_selected_mcts,COMPLETED,0:0,09:00:23,16,20,16,0,19,38.12;42.90;1293.36;86.96;1939.94;22.05;23.80;683.23;82.89;97.31;176.97;3227.81;260.81;6209.99;5967.97;5620.71,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891024_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430359_e0002.txt,
20891025,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20430362_e0008,block_grouping,off,1510771779,SR10M,20430362,8,main_val_stage2_selected_mcts,COMPLETED,0:0,04:17:00,17,20,17,0,20,20.05;24.07;574.57;49.11;943.91;14.28;15.28;51.34;417.41;64.87;110.23;1751.38;3730.53;3911.54;4719.24;4520.20;5976.46,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891025_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20430362_e0008.txt,
20891026,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20430354_e0000,block_grouping,off,1963100312,SR10M,20430354,0,main_val_stage2_selected_mcts,COMPLETED,0:0,04:34:50,15,20,15,0,20,25.34;35.37;834.99;47.38;510.26;19.56;23.81;82.21;75.43;147.87;2813.29;154.83;6050.37;5594.75;5749.56,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891026_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20430354_e0000.txt,
20891027,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20430364_e0002,block_grouping,off,1972442430,SR10M,20430364,2,main_val_stage2_selected_mcts,COMPLETED,0:0,05:58:42,15,20,15,0,20,19.55;23.56;989.87;39.57;1418.95;11.02;13.27;450.38;43.47;56.91;96.75;2312.73;6955.03;5839.96;8272.07,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891027_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20430364_e0002.txt,
20891028,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20430355_e0000,block_grouping,off,2011206605,SR10M,20430355,0,main_val_stage2_selected_mcts,FAILED,1:0,00:02:42,0,0,,,0,,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891028_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20430355_e0000.txt,
20943868,Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20430355_e0000,block_grouping,off,2011206605,SR10M,20430355,0,main_val_stage2_selected_mcts,RUNNING,0:0,01:15:00,9,11,,,11,32.08;32.36;1986.70;67.67;867.27;13.28;14.28;73.64;169.58,/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943868_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20430355_e0000.txt,
