experiment_id,manifest_id,domain,stage,value_head,seed,arm,iterations,policy_score,matched_fixed_width,slurm_job_id,source_training_job_id,snapshot_epoch,analysis_roles,slurm_state,elapsed,score,total,source_log
,stage2-gap-terminal-block_grouping-on-2082152039-w5_i20,block_grouping,stage2,on,2082152039,pw_kmin3,20,,,20891018,20489404,62,stage2_terminal_selected_policy_vs_mcts_branch_completion,COMPLETED,12:23:13,11.0,20,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891018_Ev_block_grouping_block_grouping_mcts_orig_vh_e.5_c.1_s2082152039_K0_SR10M_src20489404_e0062.txt
,stage2-gap-validation-block_grouping-off-534933607-w5_i20,block_grouping,stage2,off,534933607,pw_kmin3,20,,,20891020,20430360,10,stage2_validation_selected_policy_vs_mcts_branch_completion,COMPLETED,07:48:00,16.0,20,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891020_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10M_src20430360_e0010.txt
,stage2-gap-validation-block_grouping-off-923500475-w5_i20,block_grouping,stage2,off,923500475,pw_kmin3,20,,,20891021,20430363,2,stage2_validation_selected_policy_vs_mcts_branch_completion,COMPLETED,06:26:07,15.0,20,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891021_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430363_e0002.txt
,stage2-gap-validation-block_grouping-off-1073581256-w5_i20,block_grouping,stage2,off,1073581256,pw_kmin3,20,,,20891022,20430357,7,stage2_validation_selected_policy_vs_mcts_branch_completion,COMPLETED,06:13:51,17.0,20,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891022_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10M_src20430357_e0007.txt
,stage2-gap-validation-block_grouping-off-1239739722-w5_i20,block_grouping,stage2,off,1239739722,pw_kmin3,20,,,20891023,20430358,4,stage2_validation_selected_policy_vs_mcts_branch_completion,OUT_OF_MEMORY,07:44:18,17.0,20,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891023_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10M_src20430358_e0004.txt
,stage2-gap-validation-block_grouping-off-1472491096-w5_i20,block_grouping,stage2,off,1472491096,pw_kmin3,20,,,20891024,20430359,2,stage2_validation_selected_policy_vs_mcts_branch_completion,COMPLETED,09:00:23,16.0,20,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891024_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10M_src20430359_e0002.txt
,stage2-gap-validation-block_grouping-off-1510771779-w5_i20,block_grouping,stage2,off,1510771779,pw_kmin3,20,,,20891025,20430362,8,stage2_validation_selected_policy_vs_mcts_branch_completion,COMPLETED,04:17:00,17.0,20,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891025_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10M_src20430362_e0008.txt
,stage2-gap-validation-block_grouping-off-1963100312-w5_i20,block_grouping,stage2,off,1963100312,pw_kmin3,20,,,20891026,20430354,0,stage2_validation_selected_policy_vs_mcts_branch_completion,COMPLETED,04:34:50,15.0,20,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891026_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10M_src20430354_e0000.txt
,stage2-gap-validation-block_grouping-off-1972442430-w5_i20,block_grouping,stage2,off,1972442430,pw_kmin3,20,,,20891027,20430364,2,stage2_validation_selected_policy_vs_mcts_branch_completion,COMPLETED,05:58:42,15.0,20,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891027_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10M_src20430364_e0002.txt
,stage2-gap-validation-block_grouping-off-2011206605-w5_i20,block_grouping,stage2,off,2011206605,pw_kmin3,20,,,20891028,20430355,0,stage2_validation_selected_policy_vs_mcts_branch_completion,FAILED,00:02:42,,,/home/hersco/training_new_domains/2026-09-03/statistical_replication_stage2_mcts_eval/20891028_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10M_src20430355_e0000.txt
