domain,value_head,stage2_branch,policy_endpoints,mcts_terminal,mcts_running,mcts_pending,search,status,job_ids_or_scope,provenance_audit
block_grouping,off,validation_led,10,0,0,0,narrow_width5_sim20,not_materialized,none,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
block_grouping,on,validation_led,10,8,0,0,narrow_width5_sim20,partial_historical,20559482-20559489,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
drone,off,validation_led,10,10,0,0,normal_width20_sim70,complete,20559492-20559494;20726030-20726036,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
drone,on,validation_led,10,10,0,0,normal_width20_sim70,complete,20559490;20726037-20726045,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
fo_counters,off,validation_led,10,6,0,0,normal_width20_sim70,partial_historical,20451737-20451742,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
fo_counters,on,validation_led,10,9,0,0,normal_width20_sim70,partial_historical,20451728-20451736,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
rover,off,validation_led,10,1,0,0,normal_width20_sim70,partial_historical,20559495,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
rover,on,validation_led,10,0,0,0,normal_width20_sim70,not_materialized,none,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
counters,off,validation_led,10,10,0,0,narrow_width5_sim20,complete,20649844-20649853,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
counters,on,validation_led,10,10,0,0,narrow_width5_sim20,complete,20649854-20649863,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
block_grouping,off,terminal_led,10,10,0,0,narrow_width5_sim20,complete,20559496-20559506,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
block_grouping,on,terminal_led,10,9,0,0,narrow_width5_sim20,partial_historical_missing_seed2082152039,20559507-20559515,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
drone,off,terminal_led,10,10,0,0,normal_width20_sim70,complete,20559540-20559550,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
drone,on,terminal_led,10,10,0,0,normal_width20_sim70,complete,20559551-20559561,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
fo_counters,off,terminal_led,10,0,10,0,normal_width20_sim70,live,20559562-20559572,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
fo_counters,on,terminal_led,10,0,10,0,normal_width20_sim70,live,20559573-20559582,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
rover,off,terminal_led,10,10,0,0,normal_width20_sim70,complete,20559587;20559590;20559636-20559643,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
rover,on,terminal_led,10,10,0,0,normal_width20_sim70,complete,20559583;20559585-20559586;20559588-20559589;20559644;20559646-20559649,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
counters,off,terminal_led,10,0,0,0,narrow_width5_sim20,not_materialized,none,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
counters,on,terminal_led,10,0,0,0,narrow_width5_sim20,not_materialized,none,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
