snapshot_time_idt,domain,value_head,validation_terminal,validation_live_submitted,validation_unsubmitted,terminal_terminal,terminal_live_submitted,terminal_unsubmitted,notes,row_level_provenance
2026-09-04T12:08:47+03:00,block_grouping,off,8,2,0,10,0,0,validation branch completion live; narrow5/20,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/stage2_mcts_branch_completion_original_results_20260904.csv;experiment_tracking/cluster_workload_latest.csv
2026-09-04T12:08:47+03:00,block_grouping,on,8,2,0,10,0,0,validation completion live and terminal branch complete; narrow5/20,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/stage2_mcts_branch_completion_original_results_20260904.csv;experiment_tracking/cluster_workload_latest.csv
2026-09-04T12:08:47+03:00,drone,off,10,0,0,10,0,0,both branches complete; normal20/70,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/stage2_mcts_branch_completion_original_results_20260904.csv;experiment_tracking/cluster_workload_latest.csv
2026-09-04T12:08:47+03:00,drone,on,10,0,0,10,0,0,both branches complete; normal20/70,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/stage2_mcts_branch_completion_original_results_20260904.csv;experiment_tracking/cluster_workload_latest.csv
2026-09-04T12:08:47+03:00,fo_counters,off,6,4,0,4,6,0,validation completion plus terminal-led campaign live; normal20/70,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/stage2_mcts_branch_completion_original_results_20260904.csv;experiment_tracking/cluster_workload_latest.csv
2026-09-04T12:08:47+03:00,fo_counters,on,9,1,0,3,7,0,validation completion plus terminal-led campaign live; normal20/70,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/stage2_mcts_branch_completion_original_results_20260904.csv;experiment_tracking/cluster_workload_latest.csv
2026-09-04T12:08:47+03:00,rover,off,1,9,0,10,0,0,validation completion submitted; normal20/70,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/stage2_mcts_branch_completion_original_results_20260904.csv;experiment_tracking/cluster_workload_latest.csv
2026-09-04T12:08:47+03:00,rover,on,0,10,0,10,0,0,validation completion submitted; normal20/70,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/stage2_mcts_branch_completion_original_results_20260904.csv;experiment_tracking/cluster_workload_latest.csv
2026-09-04T12:08:47+03:00,counters,off,10,0,0,0,0,10,validation complete narrow5/20; terminal manifest ready but gated,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/stage2_mcts_branch_completion_original_results_20260904.csv;experiment_tracking/cluster_workload_latest.csv
2026-09-04T12:08:47+03:00,counters,on,10,0,0,0,0,10,validation complete narrow5/20; terminal manifest ready but gated,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/stage2_mcts_branch_completion_original_results_20260904.csv;experiment_tracking/cluster_workload_latest.csv
