snapshot_time_idt,domain,value_head,validation_terminal,validation_live_submitted,validation_unsubmitted,terminal_terminal,terminal_live_submitted,terminal_unsubmitted,search,notes,row_level_provenance
2026-09-05T13:36:12+03:00,block_grouping,off,10,0,0,10,0,0,narrow5/20,both branches complete,"experiment_tracking/bg_validation_mcts_provenance_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
2026-09-05T13:36:12+03:00,block_grouping,on,10,0,0,10,0,0,narrow5/20,both branches complete,"experiment_tracking/bg_validation_mcts_provenance_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
2026-09-05T13:36:12+03:00,drone,off,10,0,0,10,0,0,normal20/70,both branches complete,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
2026-09-05T13:36:12+03:00,drone,on,10,0,0,10,0,0,normal20/70,both branches complete,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
2026-09-05T13:36:12+03:00,fo_counters,off,6,4,0,10,0,0,normal20/70,"validation branch live; terminal off complete and retry-duplicated job20559567 deduplicated/VAL-certified by job20974692","experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/fo_terminal_mcts_provenance_20260905.csv;experiment_tracking/fo_job20559567_dedup_val_summary_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
2026-09-05T13:36:12+03:00,fo_counters,on,9,1,0,8,2,0,normal20/70,both branch tails live,"experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/fo_terminal_mcts_provenance_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
2026-09-05T13:36:12+03:00,rover,off,1,9,0,10,0,0,normal20/70,validation branch live,"experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
2026-09-05T13:36:12+03:00,rover,on,0,10,0,10,0,0,normal20/70,validation branch live,"experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
2026-09-05T13:36:12+03:00,counters,off,10,0,0,0,10,0,narrow5/20,terminal branch newly running,"experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/stage2_mcts_counters_terminal_node_retry_20260905.csv"
2026-09-05T13:36:12+03:00,counters,on,10,0,0,0,10,0,narrow5/20,terminal branch newly running,"experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/stage2_mcts_counters_terminal_node_retry_20260905.csv"

