snapshot_time_idt,domain,value_head,validation_scheduler_terminal,validation_live,validation_unsubmitted,terminal_scheduler_terminal,terminal_live,terminal_unsubmitted,search,scientific_status,row_level_provenance
2026-09-07T13:08:54+03:00,block_grouping,off,10,0,0,10,0,0,narrow5/20,both branches complete,experiment_tracking/bg_validation_mcts_provenance_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
2026-09-07T13:08:54+03:00,block_grouping,on,10,0,0,10,0,0,narrow5/20,both branches complete,experiment_tracking/bg_validation_mcts_provenance_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
2026-09-07T13:08:54+03:00,drone,off,10,0,0,10,0,0,normal20/70,both branches complete,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
2026-09-07T13:08:54+03:00,drone,on,10,0,0,10,0,0,normal20/70,both branches complete,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
2026-09-07T13:08:54+03:00,fo_counters,off,10,0,0,10,0,0,normal20/70,validation branch has two FAILED partial lower bounds; terminal branch complete,experiment_tracking/stage2_policy_mcts_comparison_by_branch_20260907.csv
2026-09-07T13:08:54+03:00,fo_counters,on,9,1,0,9,1,0,normal20/70,both branch tails have one live job,experiment_tracking/cluster_workload_20260907.csv
2026-09-07T13:08:54+03:00,rover,off,10,0,0,10,0,0,normal20/70,both branches complete,experiment_tracking/rover_validation_seed_results_20260906.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
2026-09-07T13:08:54+03:00,rover,on,10,0,0,10,0,0,normal20/70,both branches complete,experiment_tracking/rover_validation_seed_results_20260906.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
2026-09-07T13:08:54+03:00,counters,off,10,0,0,6,4,0,narrow5/20,terminal branch live and includes one OOM partial lower bound,experiment_tracking/cluster_workload_20260907.csv;experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_matched_10seed.csv
2026-09-07T13:08:54+03:00,counters,on,10,0,0,7,3,0,narrow5/20,terminal branch live and includes failed/OOM partial lower bounds,experiment_tracking/cluster_workload_20260907.csv;experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_matched_10seed.csv
