manifest_id,cohort,seed,domain,domain_label,value_head,rq_scope,task_type,stage,variant,architecture,teacher,source_checkpoint_ref,supervised_lr,max_epochs,original_training_set,estimator,puct,tree_sampling,anchor,width,iterations,workers,jpddl_heap,cpus,memory,time_limit,instance_timeout,completion_mode,dependency_ref,checkpoint_selection,status,notes,source_training_job_id,snapshot_epoch,analysis_roles,excluded_nodes
stage2-gap-terminal-counters-off-534933607-w5_i20,stage2-branch-completion,534933607,counters,Counters,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-23T17:45:23.773693/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04909743-3c74d66/snapshots/snapshot_36_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489405,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489405,36,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-terminal-counters-off-923500475-w5_i20,stage2-branch-completion,923500475,counters,Counters,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-23T18:47:35.763194/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04909801-5194f74/snapshots/snapshot_24_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489406,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489406,24,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-terminal-counters-off-1073581256-w5_i20,stage2-branch-completion,1073581256,counters,Counters,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-23T20:02:39.778670/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04909877-1247c09/snapshots/snapshot_31_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489407,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489407,31,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-terminal-counters-off-1239739722-w5_i20,stage2-branch-completion,1239739722,counters,Counters,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-23T21:25:37.261441/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04909959-7d9a779/snapshots/snapshot_18_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489408,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489408,18,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-terminal-counters-off-1472491096-w5_i20,stage2-branch-completion,1472491096,counters,Counters,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-23T22:43:58.270737/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04910038-43e0a7a/snapshots/snapshot_2_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489409,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489409,2,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-terminal-counters-off-1510771779-w5_i20,stage2-branch-completion,1510771779,counters,Counters,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-23T23:04:46.488276/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04910058-17cc32a/snapshots/snapshot_45_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489410,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489410,45,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-terminal-counters-off-1963100312-w5_i20,stage2-branch-completion,1963100312,counters,Counters,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-23T23:56:41.632588/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04910111-2fc32f3/snapshots/snapshot_42_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489411,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489411,42,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-terminal-counters-off-1972442430-w5_i20,stage2-branch-completion,1972442430,counters,Counters,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-24T00:34:52.028468/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04910148-72aea46/snapshots/snapshot_94_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489412,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489412,94,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-terminal-counters-off-2011206605-w5_i20,stage2-branch-completion,2011206605,counters,Counters,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-24T02:07:52.909222/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04910241-067843/snapshots/snapshot_3_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489413,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489413,3,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-terminal-counters-off-2082152039-w5_i20,stage2-branch-completion,2082152039,counters,Counters,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-24T02:31:57.155926/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04910266-faf7d6/snapshots/snapshot_82_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489414,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489414,82,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-terminal-counters-on-534933607-w5_i20,stage2-branch-completion,534933607,counters,Counters,on,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-24T02:46:08.190901/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04910280-3c74d66/snapshots/snapshot_6_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489415,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489415,6,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-terminal-counters-on-923500475-w5_i20,stage2-branch-completion,923500475,counters,Counters,on,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-24T04:02:24.062046/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04910356-5194f74/snapshots/snapshot_30_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489416,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489416,30,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-terminal-counters-on-1073581256-w5_i20,stage2-branch-completion,1073581256,counters,Counters,on,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-24T04:50:46.969522/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04910405-1247c09/snapshots/snapshot_70_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489417,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489417,70,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-terminal-counters-on-1239739722-w5_i20,stage2-branch-completion,1239739722,counters,Counters,on,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-24T05:21:25.780481/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04910435-7d9a779/snapshots/snapshot_62_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489418,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489418,62,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-terminal-counters-on-1472491096-w5_i20,stage2-branch-completion,1472491096,counters,Counters,on,RQ2/RQ4,mcts_eval,stage2,branch_completion_narrow5/20,experiments_numeric.architecture_2.counters_mcts,hmrmax-astar,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.counters-experiments_numeric.architecture_2.counters_mcts-2026-08-24T05:38:45.073976/P[domain,fz_instance_4,inv_instance_4,rnd_instanc...]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04910452-43e0a7a/snapshots/snapshot_70_1.0000",,,True,0.5,0.1,,,5,20,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20489419,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; terminal-led; configuration frozen as narrow5/20; submit Counters only after the separate Rover running-state and memory gate is satisfied,20489419,70,stage2_terminal_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
