experiment_id,domain,value_head,seed,source_training_job_id,selected_epoch,policy_score,policy_log,candidate_mcts_log_count,candidate_mcts_logs,audit_state
MAIN-TERM,block_grouping,off,534933607,20489385,0,18,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523448_Ev_block_grouping_block_grouping_orig_novh_c.1_s534933607_SR10TCP_src20489385_e0000.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559496_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCM_src20489385_e0000.txt,candidate_logs_found
MAIN-TERM,block_grouping,off,923500475,20489386,26,16,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541100_Ev_block_grouping_block_grouping_orig_novh_c.1_s923500475_SR10TCP_src20489386_e0026.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559497_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10TCM_src20489386_e0026.txt,candidate_logs_found
MAIN-TERM,block_grouping,off,1073581256,20489387,14,15,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541102_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10TCP_src20489387_e0014.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559498_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10TCM_src20489387_e0014.txt,candidate_logs_found
MAIN-TERM,block_grouping,off,1239739722,20489388,0,17,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523317_Ev_block_grouping_block_grouping_orig_novh_c.1_s1239739722_SR10TCP_src20489388_e0000.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559499_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10TCM_src20489388_e0000.txt,candidate_logs_found
MAIN-TERM,block_grouping,off,1472491096,20489389,1,18,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541104_Ev_block_grouping_block_grouping_orig_novh_c.1_s1472491096_SR10TCP_src20489389_e0001.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559500_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489389_e0001.txt,candidate_logs_found
MAIN-TERM,block_grouping,off,1510771779,20489390,3,16,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541106_Ev_block_grouping_block_grouping_orig_novh_c.1_s1510771779_SR10TCP_src20489390_e0003.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559501_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCM_src20489390_e0003.txt,candidate_logs_found
MAIN-TERM,block_grouping,off,1963100312,20489391,0,15,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523381_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10TCP_src20489391_e0000.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559502_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10TCM_src20489391_e0000.txt,candidate_logs_found
MAIN-TERM,block_grouping,off,1972442430,20489392,2,17,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541107_Ev_block_grouping_block_grouping_orig_novh_c.1_s1972442430_SR10TCP_src20489392_e0002.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559503_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10TCM_src20489392_e0002.txt,candidate_logs_found
MAIN-TERM,block_grouping,off,2011206605,20489393,1,17,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541109_Ev_block_grouping_block_grouping_orig_novh_c.1_s2011206605_SR10TCP_src20489393_e0001.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559505_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10TCM_src20489393_e0001.txt,candidate_logs_found
MAIN-TERM,block_grouping,off,2082152039,20489394,3,14,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541111_Ev_block_grouping_block_grouping_orig_novh_c.1_s2082152039_SR10TCP_src20489394_e0003.txt,1,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559506_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCM_src20489394_e0003.txt,candidate_logs_found
