manifest_id,cohort,seed,domain,domain_label,value_head,rq_scope,task_type,stage,variant,architecture,teacher,source_checkpoint_ref,supervised_lr,max_epochs,original_training_set,estimator,puct,tree_sampling,anchor,width,iterations,workers,jpddl_heap,cpus,memory,time_limit,instance_timeout,completion_mode,dependency_ref,checkpoint_selection,status,notes,source_training_job_id,snapshot_epoch,analysis_roles,excluded_nodes
stage2-gap-validation-rover-off-534933607-w20_i70,stage2-branch-completion,534933607,rover,Rover,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_normal20/70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-21T15:13:30.326752/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04906707-3c74d66/snapshots/snapshot_0_1.0000",,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430412,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; validation-led; configuration frozen as normal20/70; submit Counters only after the separate Rover running-state and memory gate is satisfied,20430412,0,stage2_validation_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-validation-rover-off-923500475-w20_i70,stage2-branch-completion,923500475,rover,Rover,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_normal20/70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-21T15:38:01.451716/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04906732-5194f74/snapshots/snapshot_0_1.0000",,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430415,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; validation-led; configuration frozen as normal20/70; submit Counters only after the separate Rover running-state and memory gate is satisfied,20430415,0,stage2_validation_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-validation-rover-off-1073581256-w20_i70,stage2-branch-completion,1073581256,rover,Rover,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_normal20/70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-21T14:49:15.528450/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04906683-1247c09/snapshots/snapshot_0_1.0000",,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430409,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; validation-led; configuration frozen as normal20/70; submit Counters only after the separate Rover running-state and memory gate is satisfied,20430409,0,stage2_validation_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-validation-rover-off-1239739722-w20_i70,stage2-branch-completion,1239739722,rover,Rover,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_normal20/70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-21T14:58:32.900625/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04906692-7d9a779/snapshots/snapshot_0_1.0000",,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430410,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; validation-led; configuration frozen as normal20/70; submit Counters only after the separate Rover running-state and memory gate is satisfied,20430410,0,stage2_validation_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-validation-rover-off-1472491096-w20_i70,stage2-branch-completion,1472491096,rover,Rover,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_normal20/70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-21T15:12:10.549026/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04906706-43e0a7a/snapshots/snapshot_1_1.0000",,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430411,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; validation-led; configuration frozen as normal20/70; submit Counters only after the separate Rover running-state and memory gate is satisfied,20430411,1,stage2_validation_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-validation-rover-off-1510771779-w20_i70,stage2-branch-completion,1510771779,rover,Rover,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_normal20/70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-21T15:33:19.839667/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04906727-17cc32a/snapshots/snapshot_3_1.0000",,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430414,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; validation-led; configuration frozen as normal20/70; submit Counters only after the separate Rover running-state and memory gate is satisfied,20430414,3,stage2_validation_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-validation-rover-off-1963100312-w20_i70,stage2-branch-completion,1963100312,rover,Rover,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_normal20/70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-21T14:48:51.779906/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04906682-2fc32f3/snapshots/snapshot_4_1.0000",,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430407,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; validation-led; configuration frozen as normal20/70; submit Counters only after the separate Rover running-state and memory gate is satisfied,20430407,4,stage2_validation_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-validation-rover-off-2011206605-w20_i70,stage2-branch-completion,2011206605,rover,Rover,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_normal20/70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-21T14:49:13.084741/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04906683-067843/snapshots/snapshot_0_1.0000",,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430408,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; validation-led; configuration frozen as normal20/70; submit Counters only after the separate Rover running-state and memory gate is satisfied,20430408,0,stage2_validation_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-validation-rover-off-2082152039-w20_i70,stage2-branch-completion,2082152039,rover,Rover,off,RQ2/RQ4,mcts_eval,stage2,branch_completion_normal20/70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-21T15:33:08.611548/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04906727-faf7d6/snapshots/snapshot_0_1.0000",,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430413,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; validation-led; configuration frozen as normal20/70; submit Counters only after the separate Rover running-state and memory gate is satisfied,20430413,0,stage2_validation_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
stage2-gap-validation-rover-on-534933607-w20_i70,stage2-branch-completion,534933607,rover,Rover,on,RQ2/RQ4,mcts_eval,stage2,branch_completion_normal20/70,experiments_numeric.architecture_2.rover_mcts,hmrp-ha-gbfs,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.rover-experiments_numeric.architecture_2.rover_mcts-2026-08-21T14:00:47.241508/P[domain,pfile1,pfile2,pfile3,pfile4]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04906634-3c74d66/snapshots/snapshot_25_1.0000",,,True,0.5,0.1,,,20,70,3,4g,6,120G,3-00:00:00,21600,rolling+VAL,training:20430402,validation_selected,ready,Approved 2026-09-04 after exhaustive historical-log audit; validation-led; configuration frozen as normal20/70; submit Counters only after the separate Rover running-state and memory gate is satisfied,20430402,25,stage2_validation_selected_policy_vs_mcts_branch_completion,"ise-cpu128-03,ise-cpu-intl-13"
