stage2_branch,domain,value_head,search,n,policy_mean,mcts_mean_30m,change_30m,ci95_low_30m,ci95_high_30m,raw_p_30m,mcts_mean_2h,change_2h,ci95_low_2h,ci95_high_2h,raw_p_2h,mcts_mean_6h,change_6h,ci95_low_6h,ci95_high_6h,raw_p_6h,row_level_provenance,holm_p_30m,holm_p_2h,holm_p_6h,record_scope,canonical_replacement
terminal_led,block_grouping,off,narrow5/20,10,16.3,11.1,-5.2,-6.141745698158479,-4.2582543018415215,0.001953125,13.1,-3.2,-4.012082852915883,-2.387917147084117,0.001953125,14.5,-1.8,-3.222644354714136,-0.3773556452858642,0.03125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv,0.03515625,0.03515625,0.40625,historical mixed-branch snapshot; superseded for primary inference,experiment_tracking/advisor_followup_20260910/rq_report_validation_led_20260912.md
terminal_led,block_grouping,on,narrow5/20,10,11.6,9.2,-2.4,-3.168932142649792,-1.631067857350208,0.001953125,9.5,-2.1,-3.0203742934263214,-1.1796257065736788,0.0078125,10.5,-1.1,-2.0802,-0.11980000000000024,0.0625,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv,0.03515625,0.109375,0.75,historical mixed-branch snapshot; superseded for primary inference,experiment_tracking/advisor_followup_20260910/rq_report_validation_led_20260912.md
terminal_led,counters,off,narrow5/20,10,37.9,34.9,-3.0,-7.536549261277783,1.5365492612777834,0.2265625,37.8,-0.1,-1.587120452418028,1.3871204524180278,1.0,38.4,0.5,-0.3429976275174207,1.3429976275174207,0.3125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv,1.0,1.0,1.0,historical mixed-branch snapshot; superseded for primary inference,experiment_tracking/advisor_followup_20260910/rq_report_validation_led_20260912.md
terminal_led,counters,on,narrow5/20,10,16.8,19.9,3.1,-3.433748268796403,9.633748268796403,0.33984375,22.0,5.2,1.0181879334432073,9.381812066556794,0.01953125,22.4,5.6,1.842083364415863,9.357916635584136,0.0078125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv,1.0,0.234375,0.1171875,historical mixed-branch snapshot; superseded for primary inference,experiment_tracking/advisor_followup_20260910/rq_report_validation_led_20260912.md
terminal_led,drone,off,normal20/70,10,7.8,9.7,1.9,0.4914117564028868,3.308588243597113,0.025390625,9.8,2.0,0.5301834128028082,3.469816587197192,0.025390625,9.9,2.1,0.6516132974926896,3.548386702507311,0.01953125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv,0.279296875,0.279296875,0.2734375,historical mixed-branch snapshot; superseded for primary inference,experiment_tracking/advisor_followup_20260910/rq_report_validation_led_20260912.md
terminal_led,drone,on,normal20/70,10,6.5,12.9,6.4,5.3230725929757385,7.476927407024262,0.001953125,13.1,6.6,5.471516132148979,7.72848386785102,0.001953125,13.1,6.6,5.471516132148979,7.72848386785102,0.001953125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv,0.03515625,0.03515625,0.03515625,historical mixed-branch snapshot; superseded for primary inference,experiment_tracking/advisor_followup_20260910/rq_report_validation_led_20260912.md
terminal_led,fo_counters,off,normal20/70,10,2.8,5.3,2.5,1.7273799122466462,3.272620087753354,0.001953125,5.3,2.5,1.7273799122466462,3.272620087753354,0.001953125,5.3,2.5,1.7273799122466462,3.272620087753354,0.001953125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv,0.03515625,0.03515625,0.03515625,historical mixed-branch snapshot; superseded for primary inference,experiment_tracking/advisor_followup_20260910/rq_report_validation_led_20260912.md
terminal_led,fo_counters,on,normal20/70,10,3.8,4.4,0.6,-0.09105241479934068,1.2910524147993407,0.15625,4.4,0.6,-0.09105241479934068,1.2910524147993407,0.15625,4.4,0.6,-0.09105241479934068,1.2910524147993407,0.15625,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv,1.0,1.0,1.0,historical mixed-branch snapshot; superseded for primary inference,experiment_tracking/advisor_followup_20260910/rq_report_validation_led_20260912.md
terminal_led,rover,off,normal20/70,10,3.8,4.2,0.4,0.030616946788296795,0.7693830532117032,0.125,4.2,0.4,0.030616946788296795,0.7693830532117032,0.125,4.2,0.4,0.030616946788296795,0.7693830532117032,0.125,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv,1.0,1.0,1.0,historical mixed-branch snapshot; superseded for primary inference,experiment_tracking/advisor_followup_20260910/rq_report_validation_led_20260912.md
terminal_led,rover,on,normal20/70,10,4.0,4.5,0.5,0.123,0.877,0.0625,4.5,0.5,0.123,0.877,0.0625,4.5,0.5,0.123,0.877,0.0625,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv,0.625,0.625,0.75,historical mixed-branch snapshot; superseded for primary inference,experiment_tracking/advisor_followup_20260910/rq_report_validation_led_20260912.md
validation_led,block_grouping,off,narrow5/20,10,16.0,11.4,-4.6,-5.368932142649792,-3.8310678573502077,0.001953125,15.0,-1.0,-2.011597153020905,0.011597153020904916,0.09375,15.7,-0.3,-0.8888928255633617,0.28889282556336177,0.5,experiment_tracking/stage2_policy_mcts_seed_cutoffs_latest.csv,0.03515625,0.84375,1.0,historical mixed-branch snapshot; superseded for primary inference,experiment_tracking/advisor_followup_20260910/rq_report_validation_led_20260912.md
