domain,value_head,stage2_branch,search,n_terminal,policy_mean,mcts_30m,mcts_2h,mcts_6h,change_6h,ci95_low,ci95_high,raw_signflip_p,holm_p,status,notes
block_grouping,off,terminal_led,narrow_width5_sim20,10,16.3,4.4,12.3,14.5,-1.8,-3.22,-0.38,0.03125,0.21875,complete,validation-led MCTS not materialized for this cell
block_grouping,on,terminal_led,narrow_width5_sim20,10,11.6,4.4,8.7,9.4,-2.2,-4.60,0.20,0.03125,0.21875,complete,validation-led MCTS has only8 historical terminal seeds
drone,off,validation_led,normal_width20_sim70,10,6.7,7.5,7.7,7.7,1.0,-0.43,2.43,0.1953125,0.390625,complete,complete validation-led branch
drone,on,validation_led,normal_width20_sim70,10,5.0,10.9,11.2,11.2,6.2,4.33,8.07,0.001953125,0.01953,complete,complete validation-led branch
drone,off,terminal_led,normal_width20_sim70,10,7.8,9.7,9.8,9.9,2.1,0.652,3.548,0.019531,0.156248,complete,complete terminal-led branch
drone,on,terminal_led,normal_width20_sim70,10,6.5,12.9,13.1,13.1,6.6,5.472,7.728,0.001953,0.01953,complete,complete terminal-led branch
fo_counters,off,terminal_led,normal_width20_sim70,4,3.25,6.25,6.25,6.25,,,,,,live_partial,"four terminal seeds score7,5,8,5 and all printed plans are VAL-valid; six jobs running and four ordinary memory-pending; do not infer ten-seed statistics yet"
fo_counters,on,terminal_led,normal_width20_sim70,0,3.8,>=4.4,>=4.4,>=4.4,,,,,,live_lower_bound,nine jobs running and one ordinary memory-pending; retained deduplicated lower bound44 successes across ten seeds; do not infer final statistics yet
rover,off,terminal_led,normal_width20_sim70,10,3.8,4.2,4.2,4.2,0.4,0.03,0.77,0.125,0.375,complete,validation-led MCTS has only one historical terminal seed
rover,on,terminal_led,normal_width20_sim70,10,4.0,4.5,4.5,4.5,0.5,0.12,0.88,0.0625,0.3125,complete,validation-led MCTS not materialized
counters,off,validation_led,narrow_width5_sim20,10,36.9,34.9,36.7,36.7,-0.2,-2.872,2.472,0.96875,0.96875,complete,terminal-led MCTS not materialized
counters,on,validation_led,narrow_width5_sim20,10,21.8,22.6,26.4,27.1,5.3,-0.695,11.295,0.08203125,0.328125,complete,terminal-led MCTS not materialized
