domain,value_head,stage2_branch,search,n_terminal,policy_mean,mcts_30m,mcts_2h,mcts_6h,change_6h,ci95_low,ci95_high,raw_signflip_p,holm_p,status,conclusion,row_level_provenance
block_grouping,off,validation_led,narrow5/20,10,16.0,11.4,15.0,15.7,-0.3,-0.889,0.289,0.5,,complete,no reliable gain or loss at6h;30m is materially worse,experiment_tracking/bg_validation_mcts_provenance_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
block_grouping,on,validation_led,narrow5/20,10,12.8,10.1,10.6,12.6,-0.2,-1.079,0.679,0.8125,,complete,no reliable gain or loss at6h;30m is materially worse,experiment_tracking/bg_validation_mcts_provenance_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
block_grouping,off,terminal_led,narrow5/20,10,16.3,4.4,12.3,14.5,-1.8,-3.22,-0.38,0.03125,0.21875,complete,MCTS loses coverage,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
block_grouping,on,terminal_led,narrow5/20,10,11.6,4.4,8.7,9.4,-2.2,-4.60,0.20,0.03125,0.21875,complete,MCTS loses mean coverage,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
drone,off,validation_led,normal20/70,10,6.7,7.5,7.7,7.7,1.0,-0.43,2.43,0.195,0.391,complete,positive mean but not significant,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
drone,on,validation_led,normal20/70,10,5.0,10.9,11.2,11.2,6.2,4.33,8.07,0.001953,0.019531,complete,large significant gain,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
drone,off,terminal_led,normal20/70,10,7.8,9.7,9.8,9.9,2.1,0.65,3.55,0.019531,0.15625,complete,positive paired effect but not Holm-significant,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
drone,on,terminal_led,normal20/70,10,6.5,12.9,13.1,13.1,6.6,5.47,7.73,0.001953,0.019531,complete,large significant gain,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
fo_counters,off,validation_led,normal20/70,7,2.9,,,,,,,,,live,wait for four live seeds,experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
fo_counters,on,validation_led,normal20/70,9,3.1,,,,,,,,,live,wait for one live seed,experiment_tracking/live_mcts_job_provenance_20260905_1314.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
fo_counters,off,terminal_led,normal20/70,10,2.8,5.3,5.3,5.3,2.5,1.727,3.273,0.001953,0.009766,complete,strong significant gain; job20559567 retry duplicates deduplicated to four unique instances and all four are VAL-valid,experiment_tracking/fo_terminal_mcts_provenance_20260905.csv;experiment_tracking/fo_job20559567_dedup_val_summary_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
fo_counters,on,terminal_led,normal20/70,8,3.8,4.4,4.4,4.4,,,,,,live_lower_bound,current all-ten lower bound is+0.6; wait for two live seeds,experiment_tracking/fo_terminal_mcts_provenance_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
rover,off,validation_led,normal20/70,10,4.0,4.5,4.5,4.5,0.5,-0.005833682777699245,1.0058336827776992,0.125,,complete,Positive mean; exact paired test determines evidence,experiment_tracking/rover_validation_seed_results_20260906.csv
rover,on,validation_led,normal20/70,10,3.9,4.4,4.5,4.5,0.6,-0.0911003790916145,1.2911003790916145,0.15625,,complete,Positive mean; exact paired test determines evidence,experiment_tracking/rover_validation_seed_results_20260906.csv
rover,off,terminal_led,normal20/70,10,3.8,4.2,4.2,4.2,0.4,0.03,0.77,0.125,0.375,complete,small non-significant gain,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
rover,on,terminal_led,normal20/70,10,4.0,4.5,4.5,4.5,0.5,0.12,0.88,0.0625,0.3125,complete,small non-significant gain,experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv
counters,off,validation_led,narrow5/20,10,36.9,34.9,36.7,36.7,-0.2,-2.87,2.47,0.96875,0.96875,complete,no meaningful change,experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_matched_10seed.csv
counters,on,validation_led,narrow5/20,10,21.8,22.6,26.4,27.1,5.3,-0.70,11.30,0.082031,0.328125,complete,positive mean but high variance,experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_matched_10seed.csv
counters,off,terminal_led,narrow5/20,4,37.9,>=34.9,>=37.8,>=38.4,,,,,,live,ten seeds newly running,experiment_tracking/job_refresh_20260906.csv;experiment_tracking/experiment_results.csv
counters,on,terminal_led,narrow5/20,3,16.8,>=19.9,>=22.0,>=22.4,,,,,,live;one failed partial needs recovery,ten seeds newly running,experiment_tracking/job_refresh_20260906.csv;experiment_tracking/experiment_results.csv
