"domain","value_head","stage2_branch","search","n_scheduler_terminal","n_live","n_complete_fixed_budget","policy_mean","mcts_30m","mcts_2h","mcts_6h","change_6h","ci95_low","ci95_high","raw_signflip_p","holm_p","status","conclusion","row_level_provenance"
"block_grouping","off","validation_led","narrow5/20","10","0","10","16.0","11.4","15.0","15.7","-0.3","-0.889","0.289","0.5","","complete","No reliable gain or loss at6h;30m is materially worse","experiment_tracking/bg_validation_mcts_provenance_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
"block_grouping","on","validation_led","narrow5/20","10","0","10","12.8","10.1","10.6","12.6","-0.2","-1.079","0.679","0.8125","","complete","No reliable gain or loss at6h;30m is materially worse","experiment_tracking/bg_validation_mcts_provenance_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
"block_grouping","off","terminal_led","narrow5/20","10","0","10","16.3","4.4","12.3","14.5","-1.8","-3.22","-0.38","0.03125","0.21875","complete","MCTS loses coverage","experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
"block_grouping","on","terminal_led","narrow5/20","10","0","10","11.6","4.4","8.7","9.4","-2.2","-4.60","0.20","0.03125","0.21875","complete","MCTS loses mean coverage","experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
"drone","off","validation_led","normal20/70","10","0","10","6.7","7.5","7.7","7.7","1.0","-0.43","2.43","0.195","0.391","complete","Positive mean but not significant","experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
"drone","on","validation_led","normal20/70","10","0","10","5.0","10.9","11.2","11.2","6.2","4.33","8.07","0.001953","0.019531","complete","Large significant gain","experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
"drone","off","terminal_led","normal20/70","10","0","10","7.8","9.7","9.8","9.9","2.1","0.65","3.55","0.019531","0.15625","complete","Positive paired effect but not Holm-significant","experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
"drone","on","terminal_led","normal20/70","10","0","10","6.5","12.9","13.1","13.1","6.6","5.47","7.73","0.001953","0.019531","complete","Large significant gain","experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
"fo_counters","off","validation_led","normal20/70","10","0","8","2.9",">=6.0",">=6.0",">=6.0",">=3.1","","","","","terminal_with_two_partial_failures","All ten identities left Slurm but seeds2082152039 and923500475 ended FAILED after partial inference; reported mean is a lower bound and inferential statistics are withheld","experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/cluster_workload_20260907.csv;/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20943885_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10M_src20430393_e0017.txt;/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945845_Ev_fo_counters_fo_counters_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10M_src20430395_e0009.txt"
"fo_counters","on","validation_led","normal20/70","10","0","9","3.1",">=5.3",">=5.4",">=5.4",">=2.3","","","","","terminal_partial_lower_bound","All ten identities are scheduler-terminal; seed2011206605 timed out after6/20 with5 within30m and6 within2h/6h so the all-ten aggregate remains a lower bound and inference is withheld","experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv;experiment_tracking/cluster_workload_20260907.csv;/home/hersco/training_new_domains/2026-09-04/statistical_replication_stage2_mcts_eval/20945846_Ev_fo_counters_fo_counters_mcts_orig_vh_e.5_c.1_s2011206605_K0_SR10M_src20430378_e0046.txt"
"fo_counters","off","terminal_led","normal20/70","10","0","10","2.8","5.3","5.3","5.3","2.5","1.727","3.273","0.001953","0.009766","complete","Strong significant gain; duplicated retry output deduplicated and VAL-certified","experiment_tracking/fo_terminal_mcts_provenance_20260905.csv;experiment_tracking/fo_job20559567_dedup_val_summary_20260905.csv;experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
"fo_counters","on","terminal_led","normal20/70","9","1","8","3.8",">=4.5",">=4.5",">=4.5",">=0.7","","","","","live_lower_bound","One live seed remains; one terminal seed timed out at4/20 and current seed is at5/20","experiment_tracking/fo_terminal_stage2_mcts_terminal_results_20260903.csv;experiment_tracking/dynamic_experiment_jobs_latest.csv"
"rover","off","validation_led","normal20/70","10","0","10","4.0","4.5","4.5","4.5","0.5","-0.0058","1.0058","0.125","","complete","Positive mean; not significant","experiment_tracking/rover_validation_seed_results_20260906.csv"
"rover","on","validation_led","normal20/70","10","0","10","3.9","4.4","4.5","4.5","0.6","-0.0911","1.2911","0.15625","","complete","Positive mean; not significant","experiment_tracking/rover_validation_seed_results_20260906.csv"
"rover","off","terminal_led","normal20/70","10","0","10","3.8","4.2","4.2","4.2","0.4","0.03","0.77","0.125","0.375","complete","Small non-significant gain","experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
"rover","on","terminal_led","normal20/70","10","0","10","4.0","4.5","4.5","4.5","0.5","0.12","0.88","0.0625","0.3125","complete","Small non-significant gain","experiment_tracking/stage2_mcts_historical_log_audit_20260902.csv"
"counters","off","validation_led","narrow5/20","10","0","10","36.9","34.9","36.7","36.7","-0.2","-2.87","2.47","0.96875","0.96875","complete","No meaningful change","experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_matched_10seed.csv"
"counters","on","validation_led","narrow5/20","10","0","10","21.8","22.6","26.4","27.1","5.3","-0.70","11.30","0.082031","0.328125","complete","Positive mean but high variance","experiment_tracking/mcts_counters_width_sensitivity/stage2_narrow_matched_10seed.csv"
