experiment_id,stage2_branch,domain,value_head,seed,search,policy_score,mcts_30m,mcts_2h,mcts_6h,classified_instances,evidence_status,mcts_job_id,source_policy_log,source_mcts_log,source_completion_ledger
MAIN-TERM,terminal_led,block_grouping,off,534933607,narrow5/20,18.0,11,15,18,20,complete_declared_budget,20559496,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523448_Ev_block_grouping_block_grouping_orig_novh_c.1_s534933607_SR10TCP_src20489385_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559496_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s534933607_K0_SR10TCM_src20489385_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559496.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,off,923500475,narrow5/20,16.0,11,13,14,16,complete_declared_budget,20559497,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541100_Ev_block_grouping_block_grouping_orig_novh_c.1_s923500475_SR10TCP_src20489386_e0026.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559497_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s923500475_K0_SR10TCM_src20489386_e0026.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559497.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,off,1073581256,narrow5/20,15.0,12,13,13,14,complete_declared_budget,20559498,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541102_Ev_block_grouping_block_grouping_orig_novh_c.1_s1073581256_SR10TCP_src20489387_e0014.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559498_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1073581256_K0_SR10TCM_src20489387_e0014.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559498.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,off,1239739722,narrow5/20,17.0,11,12,12,15,complete_declared_budget,20559499,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523317_Ev_block_grouping_block_grouping_orig_novh_c.1_s1239739722_SR10TCP_src20489388_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559499_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1239739722_K0_SR10TCM_src20489388_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559499.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,off,1472491096,narrow5/20,18.0,12,16,18,20,complete_declared_budget,20559500,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541104_Ev_block_grouping_block_grouping_orig_novh_c.1_s1472491096_SR10TCP_src20489389_e0001.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559500_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1472491096_K0_SR10TCM_src20489389_e0001.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559500.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,off,1510771779,narrow5/20,16.0,11,14,16,19,complete_declared_budget,20559501,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541106_Ev_block_grouping_block_grouping_orig_novh_c.1_s1510771779_SR10TCP_src20489390_e0003.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559501_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1510771779_K0_SR10TCM_src20489390_e0003.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559501.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,off,1963100312,narrow5/20,15.0,10,12,12,18,complete_declared_budget,20559502,/home/hersco/training_new_domains/2026-08-24/statistical_replication_terminal_stage2_policy_eval/20523381_Ev_block_grouping_block_grouping_orig_novh_c.1_s1963100312_SR10TCP_src20489391_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559502_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1963100312_K0_SR10TCM_src20489391_e0000.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559502.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,off,1972442430,narrow5/20,17.0,11,12,13,16,complete_declared_budget,20559503,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541107_Ev_block_grouping_block_grouping_orig_novh_c.1_s1972442430_SR10TCP_src20489392_e0002.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559503_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s1972442430_K0_SR10TCM_src20489392_e0002.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559503.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,off,2011206605,narrow5/20,17.0,11,13,18,20,complete_declared_budget,20559505,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541109_Ev_block_grouping_block_grouping_orig_novh_c.1_s2011206605_SR10TCP_src20489393_e0001.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559505_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2011206605_K0_SR10TCM_src20489393_e0001.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559505.eval_completed.jsonl
MAIN-TERM,terminal_led,block_grouping,off,2082152039,narrow5/20,14.0,11,11,11,15,complete_declared_budget,20559506,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_policy_eval/20541111_Ev_block_grouping_block_grouping_orig_novh_c.1_s2082152039_SR10TCP_src20489394_e0003.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/20559506_Ev_block_grouping_block_grouping_mcts_orig_novh_e.5_c.1_s2082152039_K0_SR10TCM_src20489394_e0003.txt,/home/hersco/training_new_domains/2026-08-25/statistical_replication_terminal_stage2_mcts_eval/.resume_state/20559506.eval_completed.jsonl
