rng_base_seed,seed_role,seed,treatment,status,training_job,endpoint_job,source_result
314159,catastrophic_outlier,1972442430,legacy_dropout_current,reused_complete,21408668_0,21409234_0,../tpp_first_update_phase_d_legacy_exact_rng_20260916/results_final_20260916.csv
314159,catastrophic_outlier,1972442430,deterministic_current,reused_complete,21394946_2,21394948_2,../tpp_first_update_phase_c_exact_rng_20260916/results_final_20260916.csv
314159,stable_control,2082152039,legacy_dropout_current,reused_complete,21408668_1,21409234_1,../tpp_first_update_phase_d_legacy_exact_rng_20260916/results_final_20260916.csv
314159,stable_control,2082152039,deterministic_current,reused_complete,21394946_3,21394948_3,../tpp_first_update_phase_c_exact_rng_20260916/results_final_20260916.csv
271828,catastrophic_outlier,1972442430,legacy_dropout_current,submitted_live,21415031_0,21415252_0,new_jobs_manifest.csv
271828,catastrophic_outlier,1972442430,deterministic_current,submitted_live,21415031_1,21415252_1,new_jobs_manifest.csv
271828,stable_control,2082152039,legacy_dropout_current,submitted_live,21415031_2,21415032_2,new_jobs_manifest.csv
271828,stable_control,2082152039,deterministic_current,submitted_live,21415031_3,21415032_3,new_jobs_manifest.csv
1618033,catastrophic_outlier,1972442430,legacy_dropout_current,submitted_live,21415031_4,21415252_4,new_jobs_manifest.csv
1618033,catastrophic_outlier,1972442430,deterministic_current,submitted_live,21415031_5,21415032_5,new_jobs_manifest.csv
1618033,stable_control,2082152039,legacy_dropout_current,submitted_live,21415031_6,21415032_6,new_jobs_manifest.csv
1618033,stable_control,2082152039,deterministic_current,submitted_live,21415031_7,21415032_7,new_jobs_manifest.csv
20260916,catastrophic_outlier,1972442430,legacy_dropout_current,submitted_live,21415031_8,21415032_8,new_jobs_manifest.csv
20260916,catastrophic_outlier,1972442430,deterministic_current,submitted_live,21415031_9,21415032_9,new_jobs_manifest.csv
20260916,stable_control,2082152039,legacy_dropout_current,submitted_live,21415031_10,21415032_10,new_jobs_manifest.csv
20260916,stable_control,2082152039,deterministic_current,submitted_live,21415031_11,21415032_11,new_jobs_manifest.csv
