task_id,domain,seed,stage,value_head,checkpoint_role,checkpoint_path,checkpoint_sha256,source_training_job_id,snapshot_epoch,source_manifest,source_manifest_sha256,selection_rule,state_manifest_path,state_manifest_sha256,state_sources,label_sources,cpus,memory_gib,time_limit_hours,status
vhv1-drone-534933607-stage1,drone,534933607,stage1,on,validation_selected_stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:54.901707/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905448-3c74d66/snapshots/snapshot_161_0.500",efa1b6a7b8bad82f1ee52e5ccc49043bda2eff2d3e0c4f028133996850caecb2,20401202,161,experiment_tracking/policy_endpoint_results.csv,af124a2da4584efa46963e3068e9d0e6dc5ab01338a91b0d406527d7cc1d6bc9,canonical_MAIN-VAL_validation_selected;seeds_first_two_replication_ids_not_outcome_selected,v1_states/vhv1-drone-534933607-paired.jsonl,,common_planner+common_random_legal+stage1_on_policy+stage2_on_policy,replay_target+deterministic_continuation+enhsp_raw_h+enhsp_search_v,4,48,8,frozen_checkpoint_verified_state_manifest_pending
vhv1-drone-534933607-stage2,drone,534933607,stage2,on,validation_led_stage2,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone_mcts-2026-08-22T00:09:39.026625/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04907243-3c74d66/snapshots/snapshot_86_1.0000",212431b3b4a6e24783547b7da6ad38a66a69fbb5a52979b7f42df0ca9a0ea664,20451797,86,experiment_tracking/policy_endpoint_results.csv,af124a2da4584efa46963e3068e9d0e6dc5ab01338a91b0d406527d7cc1d6bc9,canonical_MAIN-VAL_validation_selected;seeds_first_two_replication_ids_not_outcome_selected,v1_states/vhv1-drone-534933607-paired.jsonl,,common_planner+common_random_legal+stage1_on_policy+stage2_on_policy,replay_target+deterministic_continuation+enhsp_raw_h+enhsp_search_v,4,48,8,frozen_checkpoint_verified_state_manifest_pending
vhv1-drone-923500475-stage1,drone,923500475,stage1,on,validation_selected_stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone-2026-08-20T18:13:54.901713/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.003,50,enhsp-hadd-astar]-MO[]-T[518400]-04905448-5194f74/snapshots/snapshot_103_0.625",cfd7f812cf180c9fcab576710bda31980c44786973115f6036b19aad76d5758e,20401205,103,experiment_tracking/policy_endpoint_results.csv,af124a2da4584efa46963e3068e9d0e6dc5ab01338a91b0d406527d7cc1d6bc9,canonical_MAIN-VAL_validation_selected;seeds_first_two_replication_ids_not_outcome_selected,v1_states/vhv1-drone-923500475-paired.jsonl,,common_planner+common_random_legal+stage1_on_policy+stage2_on_policy,replay_target+deterministic_continuation+enhsp_raw_h+enhsp_search_v,4,48,8,frozen_checkpoint_verified_state_manifest_pending
vhv1-drone-923500475-stage2,drone,923500475,stage2,on,validation_led_stage2,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.drone-experiments_numeric.architecture_2.drone_mcts-2026-08-22T00:11:35.222555/P[domain,problem_1_1_4,problem_1_8_1,problem_8_1_...]-S[0.0003,50,enhsp-hadd-astar]-MO[]-T[518400]-04907245-5194f74/snapshots/snapshot_30_1.0000",a8527c0feddac831fcde7560cb8b7df44aa173e00ed0effafbc3eca85e081db7,20451798,30,experiment_tracking/policy_endpoint_results.csv,af124a2da4584efa46963e3068e9d0e6dc5ab01338a91b0d406527d7cc1d6bc9,canonical_MAIN-VAL_validation_selected;seeds_first_two_replication_ids_not_outcome_selected,v1_states/vhv1-drone-923500475-paired.jsonl,,common_planner+common_random_legal+stage1_on_policy+stage2_on_policy,replay_target+deterministic_continuation+enhsp_raw_h+enhsp_search_v,4,48,8,frozen_checkpoint_verified_state_manifest_pending
vhv1-fo_counters-534933607-stage1,fo_counters,534933607,stage1,on,validation_selected_stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:13:09.104829/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905447-3c74d66/snapshots/snapshot_58_1.000",9c02d8922175cc75fa57058747cebbbd7d5bdce6bbabe7655640890c3dc28ecb,20401223,58,experiment_tracking/policy_endpoint_results.csv,af124a2da4584efa46963e3068e9d0e6dc5ab01338a91b0d406527d7cc1d6bc9,canonical_MAIN-VAL_validation_selected;seeds_first_two_replication_ids_not_outcome_selected,v1_states/vhv1-fo_counters-534933607-paired.jsonl,,common_planner+common_random_legal+stage1_on_policy+stage2_on_policy,replay_target+deterministic_continuation+enhsp_raw_h+enhsp_search_v,4,64,8,frozen_checkpoint_verified_state_manifest_pending
vhv1-fo_counters-534933607-stage2,fo_counters,534933607,stage2,on,validation_led_stage2,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters_mcts-2026-08-21T11:19:51.422668/P[domain,instance_2,instance_3,instance_4]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906473-3c74d66/snapshots/snapshot_21_1.0000",7f248fc5bf1240d843b9d2a8fbfdff6ae7e3e7821a24ccb95f6894e9ea3586e3,20430382,21,experiment_tracking/policy_endpoint_results.csv,af124a2da4584efa46963e3068e9d0e6dc5ab01338a91b0d406527d7cc1d6bc9,canonical_MAIN-VAL_validation_selected;seeds_first_two_replication_ids_not_outcome_selected,v1_states/vhv1-fo_counters-534933607-paired.jsonl,,common_planner+common_random_legal+stage1_on_policy+stage2_on_policy,replay_target+deterministic_continuation+enhsp_raw_h+enhsp_search_v,4,64,8,frozen_checkpoint_verified_state_manifest_pending
vhv1-fo_counters-923500475-stage1,fo_counters,923500475,stage1,on,validation_selected_stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters-2026-08-20T18:14:12.779593/P[domain,instance_2,instance_3,instance_4]-S[0.003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04905449-5194f74/snapshots/snapshot_34_1.000",9462a4d54228836288ad36afdba8362c067eaf596d8974ec385fe6816b32fa59,20401226,34,experiment_tracking/policy_endpoint_results.csv,af124a2da4584efa46963e3068e9d0e6dc5ab01338a91b0d406527d7cc1d6bc9,canonical_MAIN-VAL_validation_selected;seeds_first_two_replication_ids_not_outcome_selected,v1_states/vhv1-fo_counters-923500475-paired.jsonl,,common_planner+common_random_legal+stage1_on_policy+stage2_on_policy,replay_target+deterministic_continuation+enhsp_raw_h+enhsp_search_v,4,64,8,frozen_checkpoint_verified_state_manifest_pending
vhv1-fo_counters-923500475-stage2,fo_counters,923500475,stage2,on,validation_led_stage2,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.fo_counters-experiments_numeric.architecture_2.fo_counters_mcts-2026-08-21T11:20:21.468908/P[domain,instance_2,instance_3,instance_4]-S[0.0003,50,enhsp-hmrmax-astar]-MO[]-T[518400]-04906474-5194f74/snapshots/snapshot_43_1.0000",647c17ec69b9ccce286e5b7931c2700e90e0239c4ea8f7ec505cb7a43ca876c7,20430385,43,experiment_tracking/policy_endpoint_results.csv,af124a2da4584efa46963e3068e9d0e6dc5ab01338a91b0d406527d7cc1d6bc9,canonical_MAIN-VAL_validation_selected;seeds_first_two_replication_ids_not_outcome_selected,v1_states/vhv1-fo_counters-923500475-paired.jsonl,,common_planner+common_random_legal+stage1_on_policy+stage2_on_policy,replay_target+deterministic_continuation+enhsp_raw_h+enhsp_search_v,4,64,8,frozen_checkpoint_verified_state_manifest_pending
vhv1-mprime-534933607-stage1,mprime,534933607,stage1,on,validation_selected_stage1,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime_validation_ipc_scale_v1-experiments_numeric.architecture_2.mprime-2026-08-27T10:28:36.642522/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04915062-3c74d66/snapshots/snapshot_30_0.750",ba57649e1c5401557fcd5b50f2f66ccf6a4806653d8aa6396337dda7f0d0d98c,20618731,30,experiment_tracking/mprime_phase_b_a_stage1_mcts_20260913/manifest_on.csv,04602da719262b29c977632175e4e0d206fbde3d143e78fc7ddc7164770163ab,phase_b_replicate_a;seeds_first_two_replication_ids_not_outcome_selected,v1_states/vhv1-mprime-534933607-paired.jsonl,,common_planner+common_random_legal+stage1_on_policy+stage2_on_policy,replay_target+deterministic_continuation+enhsp_raw_h+enhsp_search_v,4,120,12,frozen_checkpoint_verified_state_manifest_pending
vhv1-mprime-534933607-stage2,mprime,534933607,stage2,on,validation_led_stage2,"/home/hersco/bershco-nu-asnets/numeric-asnets/asnets/experiment-results/experiments_numeric.domain.mprime-experiments_numeric.architecture_2.mprime_mcts-2026-09-15T10:26:14.615193/P[domain,pfile01,pfile02,pfile04,pfile05]-S[0.0003,50,enhsp-hmrp-ha-gbfs]-MO[]-T[518400]-04942420-3c74d66/snapshots/snapshot_0_1.0000",037b047bb4d7ddec16e6062a648c0322bd71c084ecc33e5fdf3d0ab11caf2ef5,21303727,0,experiment_tracking/mprime_final_stage2_search_20260916/manifest.csv,d35d1308a52119ca7bc8d665d603a3939fbbc193e7f48a39c7f068049bbd16e8,phase_b_replicate_a;seeds_first_two_replication_ids_not_outcome_selected,v1_states/vhv1-mprime-534933607-paired.jsonl,,common_planner+common_random_legal+stage1_on_policy+stage2_on_policy,replay_target+deterministic_continuation+enhsp_raw_h+enhsp_search_v,4,120,12,frozen_checkpoint_verified_state_manifest_pending
