rq,stage,cutoff,estimand,domain,n,paired_differences,mean_difference,studentized_abs_t,canonical_raw_mean_signflip_p,canonical_holm_p,westfall_raw_studentized_p,westfall_young_single_step_maxT_p,westfall_young_step_down_maxT_p,holm_significant_0_05,single_step_maxT_significant_0_05,step_down_maxT_significant_0_05,permutations,seed_alignment
RQ1,Stage 2,endpoint,VH-off: Stage 2 policy - Stage 1 policy,block_grouping,10,2;0;0;-1;-3;0;0;0;0;-1,-0.3,0.7579367289598671,0.625,1.0,0.625,0.96484375,0.90625,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ1,Stage 2,endpoint,VH-off: Stage 2 policy - Stage 1 policy,drone,10,7;-1;2;0;-2;3;-1;2;-3;1,0.8,0.8728715609439696,0.50390625,1.0,0.50390625,0.927734375,0.873046875,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ1,Stage 2,endpoint,VH-off: Stage 2 policy - Stage 1 policy,fo_counters,10,-1;-3;0;-3;0;-2;1;-2;0;-3,-1.3,2.7508479018485334,0.046875,0.28125,0.046875,0.119140625,0.119140625,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ1,Stage 2,endpoint,VH-off: Stage 2 policy - Stage 1 policy,rover,10,0;0;0;0;0;0;0;0;0;0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ1,Stage 2,endpoint,VH-off: Stage 2 policy - Stage 1 policy,counters,10,-6;4;-20;35;42;25;20;24;-53;-27,4.4,0.45581240963875985,0.66015625,1.0,0.66015625,0.99609375,0.90625,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ1,Stage 2,endpoint,VH-off: Stage 2 policy - Stage 1 policy,mprime,10,-4;-4;1;5;0;-1;3;0;3;-1,0.2,0.21538744758532144,0.9296875,1.0,0.9296875,1.0,0.9296875,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ2,Stage 1,2h,VH-off direct: MCTS - same-checkpoint policy,block_grouping,10,0;-3;1;-3;-3;-2;-3;1;-1;-2,-1.5,2.87494454249973,0.03515625,0.15625,0.03515625,0.099609375,0.076171875,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ2,Stage 1,2h,VH-off direct: MCTS - same-checkpoint policy,drone,10,1;3;1;2;-1;1;2;2;-1;0,1.0,2.371708245126285,0.07421875,0.22265625,0.07421875,0.1875,0.109375,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ2,Stage 1,2h,VH-off direct: MCTS - same-checkpoint policy,fo_counters,10,4;1;3;0;6;4;6;3;4;5,3.6,5.822969752985674,0.00390625,0.0234375,0.00390625,0.00390625,0.00390625,True,True,True,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
RQ2,Stage 1,2h,VH-off direct: MCTS - same-checkpoint policy,rover,10,2;0;1;2;1;3;0;0;0;1,1.0,3.0,0.03125,0.15625,0.03125,0.083984375,0.076171875,False,False,False,1024,1073581256;1239739722;1472491096;1510771779;1963100312;1972442430;2011206605;2082152039;534933607;923500475
